age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,date
56,Technician,Married,Secondary,No,4073,No,No,Cellular,27,Aug,239,5,-1,0,Unknown,No,2023-08-27
37,Admin.,Single,Tertiary,No,2317,Yes,No,Cellular,20,Apr,114,1,152,2,Failure,No,2023-04-20
25,Blue-Collar,Single,Primary,No,-221,Yes,No,Unknown,23,May,250,1,-1,0,Unknown,No,2023-05-23
31,Services,Married,Secondary,No,132,No,No,Cellular,7,Jul,148,1,152,1,Other,No,2023-07-07
38,Management,Divorced,Unknown,No,0,Yes,No,Cellular,18,Nov,96,2,-1,0,Unknown,No,2023-11-18
42,Management,Divorced,Tertiary,No,16,No,No,Cellular,19,Nov,140,3,-1,0,Unknown,No,2023-11-19
44,Services,Single,Secondary,No,106,No,No,Unknown,12,Jun,109,2,-1,0,Unknown,No,2023-06-12
44,Entrepreneur,Married,Secondary,No,93,No,No,Cellular,7,Jul,125,2,-1,0,Unknown,No,2023-07-07
26,Housemaid,Married,Tertiary,No,543,No,No,Cellular,30,Jan,169,3,-1,0,Unknown,No,2023-01-30
41,Management,Married,Tertiary,No,5883,No,No,Cellular,20,Nov,182,2,-1,0,Unknown,No,2023-11-20
55,Blue-Collar,Married,Primary,No,627,Yes,No,Unknown,5,May,247,1,-1,0,Unknown,No,2023-05-05
67,Retired,Married,Unknown,No,696,No,No,Telephone,17,Aug,119,1,105,2,Failure,No,2023-08-17
56,Self-Employed,Married,Secondary,No,784,No,Yes,Cellular,30,Jul,149,2,-1,0,Unknown,No,2023-07-30
53,Admin.,Married,Secondary,No,105,No,Yes,Cellular,21,Aug,74,2,-1,0,Unknown,No,2023-08-21
68,Retired,Divorced,Secondary,No,4189,No,No,Telephone,14,Jul,897,2,-1,0,Unknown,Yes,2023-07-14
31,Technician,Married,Secondary,No,171,No,No,Cellular,27,Aug,81,3,-1,0,Unknown,No,2023-08-27
59,Management,Married,Secondary,No,42,No,No,Cellular,21,Nov,40,1,-1,0,Unknown,No,2023-11-21
32,Management,Single,Tertiary,No,2536,Yes,No,Cellular,26,Aug,958,6,-1,0,Unknown,Yes,2023-08-26
49,Technician,Married,Tertiary,No,1235,No,No,Cellular,13,Aug,354,3,-1,0,Unknown,Yes,2023-08-13
42,Admin.,Divorced,Secondary,No,1811,Yes,No,Unknown,14,May,150,1,-1,0,Unknown,No,2023-05-14
78,Retired,Divorced,Primary,No,229,No,No,Telephone,22,Oct,97,1,-1,0,Unknown,Yes,2023-10-22
32,Blue-Collar,Married,Secondary,No,2089,Yes,No,Cellular,14,Nov,132,1,-1,0,Unknown,Yes,2023-11-14
33,Management,Married,Secondary,No,3935,Yes,No,Cellular,6,May,765,1,342,2,Failure,Yes,2023-05-06
23,Services,Single,Tertiary,No,363,Yes,No,Unknown,30,May,16,18,-1,0,Unknown,No,2023-05-30
38,Management,Single,Tertiary,No,11971,Yes,No,Unknown,17,Nov,609,2,101,3,Failure,No,2023-11-17
36,Management,Single,Tertiary,No,553,No,No,Cellular,11,Aug,106,2,-1,0,Unknown,No,2023-08-11
52,Blue-Collar,Married,Secondary,No,1117,Yes,No,Cellular,13,May,365,1,-1,0,Unknown,No,2023-05-13
32,Technician,Married,Tertiary,No,396,Yes,No,Cellular,13,May,205,3,-1,0,Unknown,No,2023-05-13
32,Technician,Single,Tertiary,No,2204,Yes,No,Cellular,21,Nov,11,4,-1,0,Unknown,No,2023-11-21
34,Management,Single,Tertiary,No,872,Yes,No,Unknown,7,May,105,2,-1,0,Unknown,No,2023-05-07
55,Blue-Collar,Married,Primary,No,145,No,No,Telephone,2,Feb,59,3,5,2,Other,No,2023-02-02
26,Blue-Collar,Married,Primary,No,0,Yes,No,Unknown,21,May,425,1,-1,0,Unknown,No,2023-05-21
32,Entrepreneur,Single,Primary,Yes,-849,Yes,Yes,Cellular,4,Feb,204,1,-1,0,Unknown,No,2023-02-04
61,Admin.,Married,Unknown,No,4629,Yes,No,Cellular,27,Jan,181,1,92,1,Success,Yes,2023-01-27
45,Blue-Collar,Divorced,Primary,No,844,No,No,Unknown,5,Jun,1018,3,-1,0,Unknown,Yes,2023-06-05
37,Technician,Single,Secondary,No,228,Yes,No,Cellular,20,Aug,1740,2,-1,0,Unknown,No,2023-08-20
38,Technician,Single,Secondary,No,50,No,No,Cellular,29,Aug,98,2,-1,0,Unknown,No,2023-08-29
34,Technician,Married,Tertiary,No,1539,Yes,No,Cellular,15,Jun,441,1,56,1,Other,Yes,2023-06-15
53,Blue-Collar,Married,Secondary,No,2231,Yes,No,Cellular,14,Jul,272,3,-1,0,Unknown,No,2023-07-14
48,Admin.,Married,Secondary,No,3064,Yes,No,Telephone,15,Jul,159,2,-1,0,Unknown,No,2023-07-15
57,Management,Married,Secondary,No,82,No,Yes,Telephone,4,Feb,140,1,-1,0,Unknown,No,2023-02-04
33,Self-Employed,Single,Tertiary,No,2155,No,No,Cellular,17,Nov,295,1,-1,0,Unknown,No,2023-11-17
36,Retired,Single,Secondary,No,101,Yes,Yes,Unknown,26,May,314,1,-1,0,Unknown,No,2023-05-26
54,Technician,Divorced,Secondary,No,784,Yes,Yes,Unknown,15,May,579,1,-1,0,Unknown,No,2023-05-15
41,Blue-Collar,Married,Primary,No,-516,No,Yes,Telephone,8,Jul,554,3,-1,0,Unknown,No,2023-07-08
63,Retired,Married,Secondary,No,415,Yes,No,Cellular,7,Oct,323,1,-1,0,Unknown,No,2023-10-07
48,Management,Married,Tertiary,No,5887,No,No,Cellular,13,Aug,227,2,-1,0,Unknown,No,2023-08-13
48,Services,Married,Secondary,No,1355,No,No,Cellular,4,Jul,134,2,-1,0,Unknown,No,2023-07-04
56,Admin.,Married,Secondary,No,16873,No,No,Cellular,7,Oct,223,1,-1,0,Unknown,No,2023-10-07
51,Blue-Collar,Divorced,Secondary,No,203,Yes,No,Cellular,8,May,134,1,170,5,Failure,No,2023-05-08
31,Services,Married,Secondary,No,338,Yes,No,Cellular,28,Jan,155,1,-1,0,Unknown,No,2023-01-28
29,Technician,Married,Secondary,No,444,Yes,No,Cellular,21,Jul,130,4,-1,0,Unknown,No,2023-07-21
41,Management,Married,Secondary,No,0,No,Yes,Cellular,7,Jul,630,3,-1,0,Unknown,No,2023-07-07
32,Technician,Single,Tertiary,No,360,No,No,Cellular,19,Nov,164,2,-1,0,Unknown,No,2023-11-19
37,Management,Married,Tertiary,No,0,No,No,Cellular,16,Jul,268,2,182,3,Success,Yes,2023-07-16
42,Entrepreneur,Divorced,Tertiary,Yes,2,Yes,No,Unknown,5,May,380,1,-1,0,Unknown,No,2023-05-05
31,Management,Single,Tertiary,No,6248,Yes,No,Unknown,9,May,154,2,-1,0,Unknown,No,2023-05-09
41,Services,Married,Tertiary,No,412,Yes,No,Unknown,3,Jun,154,5,-1,0,Unknown,No,2023-06-03
56,Retired,Married,Secondary,No,344,Yes,No,Unknown,15,May,221,1,-1,0,Unknown,No,2023-05-15
54,Management,Divorced,Tertiary,No,3222,No,No,Cellular,14,Aug,67,2,-1,0,Unknown,No,2023-08-14
41,Blue-Collar,Divorced,Secondary,No,174,Yes,No,Cellular,14,May,367,2,297,1,Other,No,2023-05-14
40,Technician,Single,Secondary,No,591,No,Yes,Cellular,14,Aug,87,6,-1,0,Unknown,No,2023-08-14
50,Blue-Collar,Divorced,Primary,No,388,No,No,Cellular,5,Feb,701,1,-1,0,Unknown,No,2023-02-05
40,Unemployed,Married,Secondary,No,219,Yes,No,Cellular,17,Nov,204,2,196,1,Failure,No,2023-11-17
27,Admin.,Divorced,Secondary,No,451,Yes,No,Cellular,16,Jul,652,1,-1,0,Unknown,Yes,2023-07-16
60,Retired,Married,Primary,No,5,No,No,Cellular,26,Aug,63,2,-1,0,Unknown,No,2023-08-26
28,Admin.,Single,Secondary,No,177,Yes,Yes,Cellular,6,May,150,1,-1,0,Unknown,No,2023-05-06
52,Services,Married,Secondary,No,657,No,No,Telephone,7,Jul,398,2,460,2,Failure,Yes,2023-07-07
37,Management,Married,Tertiary,No,1315,No,No,Cellular,30,Jun,224,1,-1,0,Unknown,Yes,2023-06-30
51,Blue-Collar,Married,Primary,No,1466,Yes,No,Unknown,7,May,406,2,-1,0,Unknown,No,2023-05-07
41,Technician,Single,Secondary,No,879,No,Yes,Cellular,7,Jul,60,4,-1,0,Unknown,No,2023-07-07
35,Blue-Collar,Single,Primary,No,293,Yes,No,Unknown,30,May,521,2,-1,0,Unknown,No,2023-05-30
38,Admin.,Married,Secondary,No,424,Yes,No,Cellular,17,Apr,279,1,-1,0,Unknown,No,2023-04-17
34,Blue-Collar,Married,Secondary,No,1831,Yes,No,Unknown,20,May,203,2,-1,0,Unknown,No,2023-05-20
39,Blue-Collar,Married,Primary,No,111,No,No,Cellular,18,Nov,201,2,-1,0,Unknown,No,2023-11-18
34,Blue-Collar,Married,Primary,No,455,Yes,No,Unknown,20,Jun,372,3,-1,0,Unknown,No,2023-06-20
27,Services,Single,Secondary,No,-195,Yes,No,Cellular,18,May,391,1,-1,0,Unknown,Yes,2023-05-18
32,Management,Single,Tertiary,No,3616,No,No,Cellular,14,Aug,165,2,-1,0,Unknown,No,2023-08-14
57,Blue-Collar,Married,Secondary,No,14093,No,No,Cellular,11,Aug,231,5,-1,0,Unknown,No,2023-08-11
41,Unknown,Single,Tertiary,No,1567,No,No,Cellular,1,Jul,291,2,-1,0,Unknown,No,2023-07-01
41,Admin.,Married,Tertiary,No,5426,Yes,No,Unknown,14,May,149,2,-1,0,Unknown,No,2023-05-14
30,Admin.,Single,Tertiary,No,261,No,No,Cellular,19,Oct,233,1,137,20,Failure,No,2023-10-19
36,Blue-Collar,Divorced,Secondary,No,2843,No,No,Cellular,12,Feb,473,1,182,1,Success,No,2023-02-12
31,Unemployed,Single,Primary,No,406,No,No,Cellular,4,Feb,736,1,-1,0,Unknown,Yes,2023-02-04
36,Blue-Collar,Married,Secondary,No,0,Yes,No,Unknown,6,May,337,1,-1,0,Unknown,No,2023-05-06
38,Management,Single,Tertiary,No,493,Yes,No,Cellular,11,May,553,1,367,7,Failure,No,2023-05-11
49,Technician,Married,Secondary,No,5996,No,No,Telephone,21,Nov,345,2,-1,0,Unknown,No,2023-11-21
57,Services,Single,Primary,No,3777,Yes,No,Telephone,13,May,65,2,-1,0,Unknown,No,2023-05-13
34,Management,Single,Secondary,No,524,No,No,Unknown,13,Aug,9,1,-1,0,Unknown,No,2023-08-13
32,Management,Single,Tertiary,No,574,Yes,No,Cellular,14,Apr,259,2,145,3,Failure,No,2023-04-14
37,Blue-Collar,Married,Secondary,No,427,Yes,Yes,Unknown,9,Jun,371,3,-1,0,Unknown,No,2023-06-09
33,Self-Employed,Married,Tertiary,No,483,Yes,No,Cellular,3,Feb,280,2,-1,0,Unknown,No,2023-02-03
56,Unemployed,Married,Primary,No,3391,No,No,Cellular,21,Apr,243,1,-1,0,Unknown,Yes,2023-04-21
27,Housemaid,Married,Primary,No,0,Yes,No,Cellular,23,Jul,435,3,-1,0,Unknown,No,2023-07-23
21,Student,Single,Secondary,No,2488,No,No,Cellular,30,Jun,258,6,169,3,Success,Yes,2023-06-30
58,Management,Married,Tertiary,No,1517,Yes,No,Telephone,29,Jul,7,5,-1,0,Unknown,No,2023-07-29
32,Self-Employed,Married,Secondary,No,217,Yes,Yes,Cellular,15,Jul,317,5,-1,0,Unknown,No,2023-07-15
33,Blue-Collar,Single,Secondary,No,22,No,No,Cellular,30,Jan,76,2,207,1,Failure,No,2023-01-30
25,Student,Single,Secondary,No,331,No,No,Telephone,26,Aug,170,4,-1,0,Unknown,Yes,2023-08-26
25,Technician,Single,Secondary,No,505,No,Yes,Cellular,17,Nov,386,2,-1,0,Unknown,Yes,2023-11-17
30,Services,Married,Secondary,No,1808,Yes,No,Cellular,18,May,83,2,-1,0,Unknown,No,2023-05-18
22,Admin.,Single,Secondary,No,4111,No,Yes,Cellular,19,Aug,65,1,-1,0,Unknown,No,2023-08-19
39,Blue-Collar,Married,Primary,No,52,No,No,Cellular,13,Aug,69,1,-1,0,Unknown,No,2023-08-13
46,Management,Divorced,Tertiary,No,25,No,No,Unknown,17,Jun,564,2,-1,0,Unknown,No,2023-06-17
31,Admin.,Divorced,Secondary,No,1890,Yes,No,Cellular,21,Jul,588,1,-1,0,Unknown,No,2023-07-21
45,Blue-Collar,Married,Primary,No,419,No,No,Cellular,18,Aug,113,4,-1,0,Unknown,No,2023-08-18
32,Technician,Married,Secondary,No,2693,Yes,No,Unknown,21,May,16,1,-1,0,Unknown,No,2023-05-21
36,Blue-Collar,Married,Secondary,No,-231,No,Yes,Cellular,15,Jul,779,2,-1,0,Unknown,No,2023-07-15
51,Management,Single,Tertiary,Yes,-55,Yes,No,Cellular,11,May,281,2,266,6,Failure,No,2023-05-11
34,Self-Employed,Single,Tertiary,No,462,No,No,Cellular,21,Aug,1877,3,-1,0,Unknown,Yes,2023-08-21
24,Unemployed,Single,Secondary,No,119,No,No,Unknown,15,Sep,51,1,-1,0,Unknown,No,2023-09-15
45,Technician,Single,Secondary,No,586,No,Yes,Cellular,28,Jul,32,3,-1,0,Unknown,No,2023-07-28
32,Blue-Collar,Single,Secondary,No,228,No,No,Telephone,5,Feb,176,1,288,3,Failure,No,2023-02-05
77,Retired,Divorced,Tertiary,No,4659,No,No,Cellular,14,Apr,161,1,-1,0,Unknown,Yes,2023-04-14
41,Blue-Collar,Married,Primary,No,168,Yes,No,Cellular,18,Nov,187,3,-1,0,Unknown,No,2023-11-18
37,Blue-Collar,Married,Primary,No,0,Yes,No,Unknown,26,May,24,1,-1,0,Unknown,No,2023-05-26
43,Blue-Collar,Married,Unknown,Yes,-715,Yes,No,Unknown,30,May,67,3,-1,0,Unknown,No,2023-05-30
48,Admin.,Married,Unknown,No,0,Yes,No,Cellular,8,May,85,1,168,2,Failure,No,2023-05-08
27,Technician,Single,Secondary,No,769,Yes,No,Unknown,9,May,317,2,-1,0,Unknown,No,2023-05-09
33,Management,Single,Tertiary,No,0,No,No,Cellular,28,Aug,236,10,-1,0,Unknown,No,2023-08-28
29,Admin.,Single,Secondary,No,428,Yes,Yes,Cellular,7,May,54,1,345,2,Failure,No,2023-05-07
34,Management,Single,Tertiary,No,0,No,No,Cellular,5,Feb,71,1,-1,0,Unknown,No,2023-02-05
52,Management,Married,Tertiary,No,-970,Yes,No,Cellular,4,Feb,489,1,-1,0,Unknown,Yes,2023-02-04
60,Management,Married,Unknown,No,6313,No,No,Unknown,19,Jun,39,2,-1,0,Unknown,No,2023-06-19
32,Management,Divorced,Tertiary,No,948,No,No,Cellular,12,Aug,204,2,-1,0,Unknown,No,2023-08-12
32,Management,Single,Tertiary,No,0,Yes,No,Cellular,22,Jul,455,2,-1,0,Unknown,No,2023-07-22
56,Services,Divorced,Unknown,No,1877,Yes,No,Unknown,30,May,86,1,-1,0,Unknown,No,2023-05-30
31,Management,Single,Tertiary,No,874,Yes,No,Cellular,18,Nov,190,2,-1,0,Unknown,No,2023-11-18
42,Admin.,Married,Secondary,No,323,Yes,Yes,Unknown,8,May,280,2,-1,0,Unknown,No,2023-05-08
35,Management,Married,Tertiary,No,106,No,Yes,Cellular,11,Aug,588,2,-1,0,Unknown,No,2023-08-11
56,Retired,Married,Primary,No,1906,No,Yes,Unknown,19,Jun,45,9,-1,0,Unknown,No,2023-06-19
48,Technician,Married,Secondary,No,1152,Yes,No,Cellular,21,Jul,168,5,-1,0,Unknown,No,2023-07-21
46,Admin.,Married,Secondary,No,179,Yes,No,Cellular,29,Jan,194,4,436,1,Other,No,2023-01-29
37,Technician,Single,Unknown,No,391,Yes,No,Unknown,8,May,103,3,-1,0,Unknown,No,2023-05-08
41,Entrepreneur,Married,Unknown,No,89,Yes,No,Unknown,6,May,333,2,-1,0,Unknown,No,2023-05-06
36,Management,Single,Tertiary,No,442,Yes,Yes,Cellular,29,Jul,102,3,-1,0,Unknown,No,2023-07-29
45,Unemployed,Divorced,Primary,Yes,-249,Yes,Yes,Unknown,1,Jul,92,1,-1,0,Unknown,No,2023-07-01
55,Entrepreneur,Married,Secondary,No,8104,No,No,Cellular,6,Feb,213,2,-1,0,Unknown,No,2023-02-06
39,Technician,Married,Secondary,No,501,No,No,Unknown,26,May,289,1,-1,0,Unknown,No,2023-05-26
35,Technician,Divorced,Secondary,No,308,No,No,Cellular,22,Aug,77,2,-1,0,Unknown,No,2023-08-22
55,Admin.,Married,Secondary,No,602,No,No,Cellular,1,Jun,324,3,90,2,Success,Yes,2023-06-01
55,Technician,Married,Secondary,No,273,Yes,No,Cellular,29,Jan,84,3,183,3,Failure,No,2023-01-29
27,Self-Employed,Single,Secondary,No,50,No,No,Cellular,29,Jan,168,1,-1,0,Unknown,No,2023-01-29
34,Technician,Married,Secondary,No,1641,Yes,No,Cellular,17,Apr,380,1,-1,0,Unknown,No,2023-04-17
34,Blue-Collar,Married,Tertiary,No,20,No,No,Unknown,4,Oct,10,1,-1,0,Unknown,No,2023-10-04
25,Admin.,Single,Secondary,No,4590,Yes,No,Unknown,28,May,199,2,-1,0,Unknown,No,2023-05-28
41,Admin.,Single,Secondary,No,-256,No,Yes,Unknown,9,May,35,3,-1,0,Unknown,No,2023-05-09
43,Services,Married,Secondary,No,978,Yes,Yes,Unknown,26,May,82,2,-1,0,Unknown,No,2023-05-26
28,Management,Single,Tertiary,No,80,No,No,Cellular,20,Oct,676,2,146,2,Failure,Yes,2023-10-20
31,Admin.,Single,Secondary,No,2104,Yes,No,Unknown,3,Jun,455,1,-1,0,Unknown,No,2023-06-03
78,Housemaid,Married,Secondary,No,499,No,No,Telephone,16,Mar,80,4,-1,0,Unknown,No,2023-03-16
45,Blue-Collar,Divorced,Secondary,No,1269,Yes,No,Cellular,29,Jan,549,2,-1,0,Unknown,No,2023-01-29
48,Technician,Married,Tertiary,No,310,No,No,Unknown,6,May,135,1,-1,0,Unknown,No,2023-05-06
32,Blue-Collar,Single,Secondary,No,1143,Yes,Yes,Cellular,10,Jul,412,1,-1,0,Unknown,No,2023-07-10
42,Technician,Married,Secondary,No,2980,No,No,Unknown,20,Jun,101,3,-1,0,Unknown,No,2023-06-20
37,Management,Single,Tertiary,No,37,No,No,Cellular,28,Jan,253,2,-1,0,Unknown,No,2023-01-28
40,Admin.,Single,Secondary,No,462,Yes,Yes,Cellular,6,Apr,272,1,335,4,Other,No,2023-04-06
32,Admin.,Married,Secondary,No,1031,Yes,No,Cellular,17,Jul,84,1,-1,0,Unknown,No,2023-07-17
42,Management,Married,Tertiary,No,9009,No,No,Cellular,20,Nov,135,2,-1,0,Unknown,No,2023-11-20
43,Admin.,Married,Secondary,No,-465,Yes,Yes,Cellular,23,Jul,166,1,-1,0,Unknown,No,2023-07-23
44,Admin.,Married,Secondary,No,5181,Yes,Yes,Cellular,31,Jul,18,7,-1,0,Unknown,No,2023-07-31
37,Admin.,Married,Secondary,No,176,Yes,No,Cellular,5,May,147,2,347,1,Failure,No,2023-05-05
37,Unknown,Married,Unknown,No,1699,No,No,Unknown,9,Jun,63,1,-1,0,Unknown,No,2023-06-09
37,Admin.,Married,Tertiary,No,0,Yes,No,Cellular,17,Nov,65,2,119,1,Failure,No,2023-11-17
28,Technician,Single,Tertiary,No,172,Yes,Yes,Cellular,2,Feb,194,2,-1,0,Unknown,No,2023-02-02
32,Services,Single,Secondary,No,0,No,Yes,Cellular,11,Jul,333,2,-1,0,Unknown,No,2023-07-11
34,Admin.,Single,Secondary,No,6979,Yes,No,Cellular,15,May,14,5,-1,0,Unknown,No,2023-05-15
40,Admin.,Divorced,Secondary,No,6,No,No,Unknown,11,Jun,140,1,-1,0,Unknown,No,2023-06-11
34,Services,Married,Secondary,No,-62,Yes,No,Unknown,16,Jun,109,3,-1,0,Unknown,No,2023-06-16
34,Self-Employed,Married,Tertiary,No,1972,Yes,No,Cellular,23,Jul,61,2,-1,0,Unknown,No,2023-07-23
34,Admin.,Married,Tertiary,No,899,Yes,No,Telephone,19,Nov,377,3,7,4,Success,No,2023-11-19
37,Services,Single,Secondary,No,21,Yes,No,Cellular,2,Feb,96,1,271,2,Other,No,2023-02-02
36,Technician,Married,Secondary,No,23,Yes,No,Cellular,8,May,152,2,347,1,Failure,No,2023-05-08
56,Retired,Married,Secondary,No,-1206,Yes,No,Cellular,15,Jun,382,2,-1,0,Unknown,Yes,2023-06-15
49,Blue-Collar,Married,Primary,No,0,Yes,Yes,Telephone,23,Jul,97,6,-1,0,Unknown,No,2023-07-23
33,Self-Employed,Married,Secondary,No,215,Yes,No,Cellular,29,Jul,543,12,-1,0,Unknown,No,2023-07-29
30,Management,Single,Tertiary,No,1372,No,No,Cellular,20,Nov,240,2,-1,0,Unknown,No,2023-11-20
36,Services,Married,Secondary,No,1981,No,No,Unknown,17,Jun,48,2,-1,0,Unknown,No,2023-06-17
23,Student,Single,Secondary,No,9216,No,No,Cellular,5,Jun,471,2,-1,0,Unknown,No,2023-06-05
57,Retired,Divorced,Secondary,No,39,Yes,No,Cellular,30,Jul,354,3,-1,0,Unknown,No,2023-07-30
27,Blue-Collar,Single,Secondary,No,5563,Yes,No,Unknown,30,May,435,2,-1,0,Unknown,No,2023-05-30
38,Services,Married,Secondary,No,1,No,Yes,Cellular,21,Nov,152,2,-1,0,Unknown,No,2023-11-21
42,Technician,Married,Tertiary,No,782,No,No,Cellular,3,Apr,285,1,-1,0,Unknown,No,2023-04-03
75,Retired,Married,Secondary,No,3771,No,No,Telephone,15,Apr,185,1,181,2,Success,Yes,2023-04-15
34,Technician,Single,Tertiary,No,992,Yes,No,Cellular,4,May,301,1,88,2,Success,No,2023-05-04
48,Technician,Married,Secondary,No,1526,No,No,Cellular,6,Aug,273,2,-1,0,Unknown,No,2023-08-06
35,Technician,Single,Tertiary,No,2658,Yes,No,Cellular,19,Aug,768,2,141,3,Failure,Yes,2023-08-19
39,Management,Divorced,Tertiary,No,1315,Yes,No,Cellular,19,Nov,1337,4,126,1,Failure,No,2023-11-19
29,Blue-Collar,Single,Tertiary,No,455,No,No,Telephone,21,Apr,403,1,-1,0,Unknown,Yes,2023-04-21
45,Technician,Single,Tertiary,No,0,Yes,No,Cellular,18,Nov,139,2,-1,0,Unknown,No,2023-11-18
42,Technician,Married,Secondary,No,2030,Yes,Yes,Cellular,9,Jul,196,1,-1,0,Unknown,No,2023-07-09
29,Technician,Married,Secondary,No,1599,Yes,No,Cellular,8,Jul,115,1,61,1,Failure,No,2023-07-08
38,Services,Single,Secondary,No,-196,Yes,No,Cellular,2,Feb,60,1,271,1,Failure,No,2023-02-02
56,Retired,Married,Secondary,No,1333,No,No,Cellular,28,Aug,17,14,-1,0,Unknown,No,2023-08-28
36,Technician,Single,Secondary,No,9149,Yes,No,Cellular,13,Aug,141,3,-1,0,Unknown,No,2023-08-13
25,Blue-Collar,Single,Secondary,No,-350,Yes,No,Unknown,23,Jun,95,3,-1,0,Unknown,No,2023-06-23
38,Technician,Married,Tertiary,No,432,Yes,No,Cellular,15,May,10,2,373,1,Other,No,2023-05-15
57,Self-Employed,Married,Secondary,No,11494,No,No,Cellular,19,Nov,198,1,-1,0,Unknown,No,2023-11-19
31,Management,Married,Tertiary,Yes,-253,No,No,Cellular,12,Aug,220,4,-1,0,Unknown,No,2023-08-12
42,Management,Married,Tertiary,No,372,Yes,No,Cellular,3,Aug,654,2,-1,0,Unknown,Yes,2023-08-03
45,Technician,Married,Secondary,No,1410,No,No,Cellular,11,Aug,71,2,-1,0,Unknown,No,2023-08-11
30,Blue-Collar,Married,Secondary,No,975,Yes,No,Cellular,13,May,256,2,351,2,Failure,No,2023-05-13
49,Blue-Collar,Married,Primary,No,305,Yes,Yes,Telephone,10,Jul,834,10,-1,0,Unknown,No,2023-07-10
49,Services,Married,Secondary,No,400,No,No,Cellular,21,Aug,151,3,-1,0,Unknown,No,2023-08-21
53,Retired,Married,Tertiary,No,-22,Yes,No,Cellular,31,Jul,20,3,-1,0,Unknown,No,2023-07-31
37,Technician,Married,Secondary,No,4030,Yes,No,Unknown,26,May,178,5,-1,0,Unknown,No,2023-05-26
49,Blue-Collar,Married,Primary,No,365,No,No,Unknown,26,May,59,2,-1,0,Unknown,No,2023-05-26
41,Self-Employed,Married,Primary,No,204,No,No,Cellular,13,Aug,111,7,-1,0,Unknown,No,2023-08-13
54,Management,Married,Primary,No,1691,Yes,No,Cellular,20,Nov,186,1,-1,0,Unknown,No,2023-11-20
32,Services,Single,Secondary,No,406,Yes,No,Unknown,6,May,227,1,-1,0,Unknown,No,2023-05-06
33,Technician,Married,Secondary,No,-204,No,No,Cellular,15,May,297,3,-1,0,Unknown,No,2023-05-15
33,Technician,Married,Secondary,No,359,Yes,No,Cellular,20,Apr,210,1,242,1,Other,No,2023-04-20
36,Blue-Collar,Married,Primary,No,123,Yes,No,Cellular,18,May,9,1,-1,0,Unknown,No,2023-05-18
35,Technician,Married,Tertiary,No,0,Yes,Yes,Cellular,23,Sep,112,1,62,6,Other,No,2023-09-23
52,Unknown,Married,Secondary,No,142,No,No,Cellular,25,Aug,112,6,-1,0,Unknown,No,2023-08-25
40,Entrepreneur,Married,Tertiary,No,3571,No,No,Unknown,9,Jun,222,3,-1,0,Unknown,No,2023-06-09
44,Technician,Single,Secondary,No,33,Yes,No,Cellular,13,May,195,3,351,10,Failure,No,2023-05-13
45,Blue-Collar,Single,Secondary,No,0,Yes,No,Cellular,26,Jul,768,2,91,5,Success,No,2023-07-26
30,Student,Single,Secondary,No,3096,No,No,Cellular,26,Jan,123,1,-1,0,Unknown,No,2023-01-26
48,Technician,Divorced,Secondary,Yes,20,No,No,Cellular,27,Aug,145,3,-1,0,Unknown,No,2023-08-27
33,Blue-Collar,Married,Secondary,No,3576,Yes,No,Cellular,2,Apr,124,1,308,2,Other,No,2023-04-02
