Country Code,Country Name,Year,Age Group,Sex,Number of Deaths,"Death Rate Per 100,000"
Afg,Afghanistan,1980,0-6 Days,Female,10838,167053.3
Afg,Afghanistan,1980,0-6 Days,Both,26991,202403.9
Afg,Afghanistan,1980,7-27 Days,Male,12551,63362.9
Afg,Afghanistan,1980,7-27 Days,Female,9217,48823.2
Afg,Afghanistan,1980,7-27 Days,Both,21768,56266.3
Afg,Afghanistan,1980,28-364 Days,Male,32316,10792.3
Afg,Afghanistan,1980,28-364 Days,Female,27191,9507.6
Afg,Afghanistan,1980,28-364 Days,Both,59506,10164.7
Afg,Afghanistan,1980,1-4 Years,Male,30885,2713.3
Afg,Afghanistan,1980,1-4 Years,Female,27506,2540.7
Afg,Afghanistan,1980,1-4 Years,Both,58391,2629.2
Afg,Afghanistan,1980,5-9 Years,Male,3263,304.0
Afg,Afghanistan,1980,5-9 Years,Female,2363,236.4
Afg,Afghanistan,1980,5-9 Years,Both,5626,271.4
Afg,Afghanistan,1980,10-14 Years,Male,2912,321.0
Afg,Afghanistan,1980,10-14 Years,Female,2473,294.5
Afg,Afghanistan,1980,10-14 Years,Both,5386,308.3
Afg,Afghanistan,1980,15-19 Years,Male,3396,443.5
Afg,Afghanistan,1980,15-19 Years,Female,2796,397.7
Afg,Afghanistan,1980,15-19 Years,Both,6192,421.6
Afg,Afghanistan,1980,20-24 Years,Male,3859,599.1
Afg,Afghanistan,1980,20-24 Years,Female,3440,586.9
Afg,Afghanistan,1980,20-24 Years,Both,7299,593.3
Afg,Afghanistan,1980,25-29 Years,Male,3509,648.6
Afg,Afghanistan,1980,25-29 Years,Female,3710,759.1
Afg,Afghanistan,1980,25-29 Years,Both,7219,701.0
Afg,Afghanistan,1980,30-34 Years,Male,3560,751.2
Afg,Afghanistan,1980,30-34 Years,Female,3761,882.8
Afg,Afghanistan,1980,30-34 Years,Both,7321,813.5
Afg,Afghanistan,1980,35-39 Years,Male,3778,974.5
Afg,Afghanistan,1980,35-39 Years,Female,4585,1318.8
Afg,Afghanistan,1980,35-39 Years,Both,8362,1137.3
Afg,Afghanistan,1980,40-44 Years,Male,4094,1282.0
Afg,Afghanistan,1980,40-44 Years,Female,3940,1370.7
Afg,Afghanistan,1980,40-44 Years,Both,8035,1324.1
Afg,Afghanistan,1980,45-49 Years,Male,4630,1783.9
Afg,Afghanistan,1980,45-49 Years,Female,3882,1635.7
Afg,Afghanistan,1980,45-49 Years,Both,8512,1713.1
Afg,Afghanistan,1980,50-54 Years,Male,5209,2538.7
Afg,Afghanistan,1980,50-54 Years,Female,4287,2222.6
Afg,Afghanistan,1980,50-54 Years,Both,9496,2385.5
Afg,Afghanistan,1980,55-59 Years,Male,5401,3446.8
Afg,Afghanistan,1980,55-59 Years,Female,4470,2932.0
Afg,Afghanistan,1980,55-59 Years,Both,9871,3192.9
Afg,Afghanistan,1980,60-64 Years,Male,5496,4813.2
Afg,Afghanistan,1980,60-64 Years,Female,5442,4734.6
Afg,Afghanistan,1980,60-64 Years,Both,10938,4773.7
Afg,Afghanistan,1980,65-69 Years,Male,4944,6412.2
Afg,Afghanistan,1980,65-69 Years,Female,5449,6779.1
Afg,Afghanistan,1980,65-69 Years,Both,10393,6599.5
Afg,Afghanistan,1980,70-74 Years,Male,4111,8868.6
Afg,Afghanistan,1980,70-74 Years,Female,5187,10377.2
Afg,Afghanistan,1980,70-74 Years,Both,9298,9651.3
Afg,Afghanistan,1980,75-79 Years,Male,2776,12059.4
Afg,Afghanistan,1980,75-79 Years,Female,3741,14593.3
Afg,Afghanistan,1980,75-79 Years,Both,6517,13394.4
Afg,Afghanistan,1980,80+ Years,Male,2094,18834.4
Afg,Afghanistan,1980,80+ Years,Female,2831,21657.7
Afg,Afghanistan,1980,80+ Years,Both,4924,20360.0
Afg,Afghanistan,1980,All Ages,Male,154935,2074.1
Afg,Afghanistan,1980,All Ages,Female,137110,1975.8
Afg,Afghanistan,1980,All Ages,Both,292045,2026.8
Afg,Afghanistan,1990,0-6 Days,Male,12635,174654.7
Afg,Afghanistan,1990,0-6 Days,Female,8636,126115.8
Afg,Afghanistan,1990,0-6 Days,Both,21271,151050.5
Afg,Afghanistan,1990,7-27 Days,Male,8325,39454.3
Afg,Afghanistan,1990,7-27 Days,Female,6203,30916.8
Afg,Afghanistan,1990,7-27 Days,Both,14528,35293.1
Afg,Afghanistan,1990,28-364 Days,Male,22711,7151.5
Afg,Afghanistan,1990,28-364 Days,Female,19286,6380.2
Afg,Afghanistan,1990,28-364 Days,Both,41997,6775.3
Afg,Afghanistan,1990,1-4 Years,Male,18029,1520.7
Afg,Afghanistan,1990,1-4 Years,Female,15943,1417.6
Afg,Afghanistan,1990,1-4 Years,Both,33972,1470.5
Afg,Afghanistan,1990,5-9 Years,Male,1956,193.2
Afg,Afghanistan,1990,5-9 Years,Female,1446,153.2
Afg,Afghanistan,1990,5-9 Years,Both,3401,173.9
Afg,Afghanistan,1990,10-14 Years,Male,1232,146.9
Afg,Afghanistan,1990,10-14 Years,Female,1499,192.7
Afg,Afghanistan,1990,10-14 Years,Both,2731,168.9
Afg,Afghanistan,1990,15-19 Years,Male,1773,250.7
Afg,Afghanistan,1990,15-19 Years,Female,1916,294.2
Afg,Afghanistan,1990,15-19 Years,Both,3689,271.5
Afg,Afghanistan,1990,20-24 Years,Male,2120,359.1
Afg,Afghanistan,1990,20-24 Years,Female,2323,429.6
Afg,Afghanistan,1990,20-24 Years,Both,4443,392.8
Afg,Afghanistan,1990,25-29 Years,Male,1910,391.3
Afg,Afghanistan,1990,25-29 Years,Female,2491,560.3
Afg,Afghanistan,1990,25-29 Years,Both,4401,471.8
Afg,Afghanistan,1990,30-34 Years,Male,1883,464.5
Afg,Afghanistan,1990,30-34 Years,Female,2449,669.3
Afg,Afghanistan,1990,30-34 Years,Both,4332,561.6
Afg,Afghanistan,1990,35-39 Years,Male,2152,642.6
Afg,Afghanistan,1990,35-39 Years,Female,3294,1097.7
Afg,Afghanistan,1990,35-39 Years,Both,5445,857.7
Afg,Afghanistan,1990,40-44 Years,Male,2557,879.6
Afg,Afghanistan,1990,40-44 Years,Female,2999,1147.1
Afg,Afghanistan,1990,40-44 Years,Both,5556,1006.3
Afg,Afghanistan,1990,45-49 Years,Male,2945,1284.5
Afg,Afghanistan,1990,45-49 Years,Female,2897,1387.9
Afg,Afghanistan,1990,45-49 Years,Both,5842,1333.8
Afg,Afghanistan,1990,50-54 Years,Male,3516,1926.8
Afg,Afghanistan,1990,50-54 Years,Female,3261,1926.8
Afg,Afghanistan,1990,50-54 Years,Both,6776,1926.8
Afg,Afghanistan,1990,55-59 Years,Male,3857,2744.3
Afg,Afghanistan,1990,55-59 Years,Female,3474,2593.2
Afg,Afghanistan,1990,55-59 Years,Both,7330,2670.6
Afg,Afghanistan,1990,60-64 Years,Male,4109,4015.4
Afg,Afghanistan,1990,60-64 Years,Female,4314,4266.4
Afg,Afghanistan,1990,60-64 Years,Both,8423,4140.2
Afg,Afghanistan,1990,65-69 Years,Male,3860,5604.3
Afg,Afghanistan,1990,65-69 Years,Female,4453,6272.5
Afg,Afghanistan,1990,65-69 Years,Both,8312,5943.5
Afg,Afghanistan,1990,70-74 Years,Male,3387,8147.1
Afg,Afghanistan,1990,70-74 Years,Female,4428,9894.5
Afg,Afghanistan,1990,70-74 Years,Both,7815,9053.0
Afg,Afghanistan,1990,75-79 Years,Male,2430,11582.4
Afg,Afghanistan,1990,75-79 Years,Female,3341,14136.5
Afg,Afghanistan,1990,75-79 Years,Both,5771,12935.3
Afg,Afghanistan,1990,80+ Years,Male,1919,18198.8
Afg,Afghanistan,1990,80+ Years,Female,2680,21019.7
Afg,Afghanistan,1990,80+ Years,Both,4599,19742.7
Afg,Afghanistan,1990,All Ages,Male,103305,1476.6
Afg,Afghanistan,1990,All Ages,Female,97331,1496.4
Afg,Afghanistan,1990,All Ages,Both,200636,1486.2
Afg,Afghanistan,2000,0-6 Days,Male,19345,168778.1
Afg,Afghanistan,2000,0-6 Days,Female,13222,121860.6
Afg,Afghanistan,2000,0-6 Days,Both,32567,145956.2
Afg,Afghanistan,2000,7-27 Days,Male,12365,36914.4
Afg,Afghanistan,2000,7-27 Days,Female,9189,28855.1
Afg,Afghanistan,2000,7-27 Days,Both,21554,32986.1
Afg,Afghanistan,2000,28-364 Days,Male,34469,6734.3
Afg,Afghanistan,2000,28-364 Days,Female,29421,6040.9
Afg,Afghanistan,2000,28-364 Days,Both,63890,6396.2
Afg,Afghanistan,2000,1-4 Years,Male,27290,1408.3
Afg,Afghanistan,2000,1-4 Years,Female,24027,1308.1
Afg,Afghanistan,2000,1-4 Years,Both,51317,1359.5
Afg,Afghanistan,2000,5-9 Years,Male,3363,183.3
Afg,Afghanistan,2000,5-9 Years,Female,2500,145.4
Afg,Afghanistan,2000,5-9 Years,Both,5863,165.0
Afg,Afghanistan,2000,10-14 Years,Male,2243,148.8
Afg,Afghanistan,2000,10-14 Years,Female,2982,212.7
Afg,Afghanistan,2000,10-14 Years,Both,5225,179.6
Afg,Afghanistan,2000,15-19 Years,Male,3346,269.6
Afg,Afghanistan,2000,15-19 Years,Female,3816,332.7
Afg,Afghanistan,2000,15-19 Years,Both,7162,299.9
Afg,Afghanistan,2000,20-24 Years,Male,3950,388.1
Afg,Afghanistan,2000,20-24 Years,Female,4519,483.1
Afg,Afghanistan,2000,20-24 Years,Both,8470,433.6
Afg,Afghanistan,2000,25-29 Years,Male,3556,422.3
Afg,Afghanistan,2000,25-29 Years,Female,4877,632.8
Afg,Afghanistan,2000,25-29 Years,Both,8433,522.9
Afg,Afghanistan,2000,30-34 Years,Male,3504,504.3
Afg,Afghanistan,2000,30-34 Years,Female,4788,757.3
Afg,Afghanistan,2000,30-34 Years,Both,8292,624.8
Afg,Afghanistan,2000,35-39 Years,Male,4049,712.5
Afg,Afghanistan,2000,35-39 Years,Female,6689,1300.0
Afg,Afghanistan,2000,35-39 Years,Both,10738,991.7
Afg,Afghanistan,2000,40-44 Years,Male,4509,973.6
Afg,Afghanistan,2000,40-44 Years,Female,5541,1323.8
Afg,Afghanistan,2000,40-44 Years,Both,10049,1139.8
Afg,Afghanistan,2000,45-49 Years,Male,5304,1418.1
Afg,Afghanistan,2000,45-49 Years,Female,5353,1573.6
Afg,Afghanistan,2000,45-49 Years,Both,10658,1492.1
Afg,Afghanistan,2000,50-54 Years,Male,6590,2116.7
Afg,Afghanistan,2000,50-54 Years,Female,6235,2164.7
Afg,Afghanistan,2000,50-54 Years,Both,12826,2139.8
Afg,Afghanistan,2000,55-59 Years,Male,7006,2985.7
Afg,Afghanistan,2000,55-59 Years,Female,6421,2886.8
Afg,Afghanistan,2000,55-59 Years,Both,13427,2937.6
Afg,Afghanistan,2000,60-64 Years,Male,7475,4335.7
Afg,Afghanistan,2000,60-64 Years,Female,8044,4783.5
Afg,Afghanistan,2000,60-64 Years,Both,15519,4556.8
Afg,Afghanistan,2000,65-69 Years,Male,7043,5983.1
Afg,Afghanistan,2000,65-69 Years,Female,8296,6958.2
Afg,Afghanistan,2000,65-69 Years,Both,15339,6473.7
Afg,Afghanistan,2000,70-74 Years,Male,6170,8625.1
Afg,Afghanistan,2000,70-74 Years,Female,8255,10857.4
Afg,Afghanistan,2000,70-74 Years,Both,14425,9775.3
Afg,Afghanistan,2000,75-79 Years,Male,4421,12151.8
Afg,Afghanistan,2000,75-79 Years,Female,6245,15288.7
Afg,Afghanistan,2000,75-79 Years,Both,10666,13811.1
Afg,Afghanistan,2000,80+ Years,Male,3560,18936.5
Afg,Afghanistan,2000,80+ Years,Female,5138,22266.2
Afg,Afghanistan,2000,80+ Years,Both,8698,20771.4
Afg,Afghanistan,2000,All Ages,Male,169558,1412.9
Afg,Afghanistan,2000,All Ages,Female,165558,1480.4
Afg,Afghanistan,2000,All Ages,Both,335117,1445.4
Afg,Afghanistan,2010,0-6 Days,Male,17163,127190.9
Afg,Afghanistan,2010,0-6 Days,Female,11904,93233.3
Afg,Afghanistan,2010,0-6 Days,Both,29067,110681.5
Afg,Afghanistan,2010,7-27 Days,Male,7639,19244.2
Afg,Afghanistan,2010,7-27 Days,Female,5864,15557.2
Afg,Afghanistan,2010,7-27 Days,Both,13504,17448.2
Afg,Afghanistan,2010,28-364 Days,Male,22361,3632.4
Afg,Afghanistan,2010,28-364 Days,Female,19657,3361.7
Afg,Afghanistan,2010,28-364 Days,Both,42017,3500.5
Afg,Afghanistan,2010,1-4 Years,Male,14079,575.9
Afg,Afghanistan,2010,1-4 Years,Female,12352,533.0
Afg,Afghanistan,2010,1-4 Years,Both,26432,555.0
Afg,Afghanistan,2010,5-9 Years,Male,2749,111.4
Afg,Afghanistan,2010,5-9 Years,Female,2054,88.9
Afg,Afghanistan,2010,5-9 Years,Both,4804,100.5
Afg,Afghanistan,2010,10-14 Years,Male,2296,104.0
Afg,Afghanistan,2010,10-14 Years,Female,2963,143.9
Afg,Afghanistan,2010,10-14 Years,Both,5259,123.3
Afg,Afghanistan,2010,15-19 Years,Male,4079,224.6
Afg,Afghanistan,2010,15-19 Years,Female,4328,256.3
Afg,Afghanistan,2010,15-19 Years,Both,8407,239.9
Afg,Afghanistan,2010,20-24 Years,Male,4858,328.9
Afg,Afghanistan,2010,20-24 Years,Female,4816,353.1
Afg,Afghanistan,2010,20-24 Years,Both,9675,340.5
Afg,Afghanistan,2010,25-29 Years,Male,4257,355.6
Afg,Afghanistan,2010,25-29 Years,Female,4986,453.0
Afg,Afghanistan,2010,25-29 Years,Both,9243,402.2
Afg,Afghanistan,2010,30-34 Years,Male,4112,423.2
Afg,Afghanistan,2010,30-34 Years,Female,4944,556.3
Afg,Afghanistan,2010,30-34 Years,Both,9056,486.8
Afg,Afghanistan,2010,35-39 Years,Male,4826,606.5
Afg,Afghanistan,2010,35-39 Years,Female,7285,1005.0
Afg,Afghanistan,2010,35-39 Years,Both,12112,796.5
Afg,Afghanistan,2010,40-44 Years,Male,5351,828.7
Afg,Afghanistan,2010,40-44 Years,Female,6270,1065.2
Afg,Afghanistan,2010,40-44 Years,Both,11621,941.5
Afg,Afghanistan,2010,45-49 Years,Male,6233,1207.7
Afg,Afghanistan,2010,45-49 Years,Female,6158,1300.7
Afg,Afghanistan,2010,45-49 Years,Both,12392,1252.2
Afg,Afghanistan,2010,50-54 Years,Male,7371,1810.4
Afg,Afghanistan,2010,50-54 Years,Female,6841,1812.2
Afg,Afghanistan,2010,50-54 Years,Both,14212,1811.3
Afg,Afghanistan,2010,55-59 Years,Male,8105,2588.4
Afg,Afghanistan,2010,55-59 Years,Female,7240,2448.6
Afg,Afghanistan,2010,55-59 Years,Both,15346,2520.5
Afg,Afghanistan,2010,60-64 Years,Male,9104,3768.0
Afg,Afghanistan,2010,60-64 Years,Female,9218,3926.1
Afg,Afghanistan,2010,60-64 Years,Both,18322,3845.9
Afg,Afghanistan,2010,65-69 Years,Male,8591,5291.9
Afg,Afghanistan,2010,65-69 Years,Female,9500,5805.0
Afg,Afghanistan,2010,65-69 Years,Both,18090,5549.5
Afg,Afghanistan,2010,70-74 Years,Male,7726,7716.7
Afg,Afghanistan,2010,70-74 Years,Female,9701,9206.8
Afg,Afghanistan,2010,70-74 Years,Both,17427,8480.8
Afg,Afghanistan,2010,75-79 Years,Male,5740,11021.7
Afg,Afghanistan,2010,75-79 Years,Female,7679,13286.3
Afg,Afghanistan,2010,75-79 Years,Both,13419,12212.9
Afg,Afghanistan,2010,80+ Years,Male,4865,17636.8
Afg,Afghanistan,2010,80+ Years,Female,6892,20370.1
Afg,Afghanistan,2010,80+ Years,Both,11757,19142.4
Afg,Afghanistan,2010,All Ages,Male,151509,917.5
Afg,Afghanistan,2010,All Ages,Female,150654,977.0
Afg,Afghanistan,2010,All Ages,Both,302163,946.3
Ago,Angola,1970,0-6 Days,Male,5624,188835.7
Ago,Angola,1970,0-6 Days,Female,4474,154472.8
Ago,Angola,1970,0-6 Days,Both,10097,171894.1
Ago,Angola,1970,7-27 Days,Male,4724,54620.7
Ago,Angola,1970,7-27 Days,Female,3924,46604.1
Ago,Angola,1970,7-27 Days,Both,8648,50666.4
Ago,Angola,1970,28-364 Days,Male,13590,10444.3
Ago,Angola,1970,28-364 Days,Female,11138,8777.9
Ago,Angola,1970,28-364 Days,Both,24729,9621.6
Ago,Angola,1970,1-4 Years,Male,26325,5831.5
Ago,Angola,1970,1-4 Years,Female,19853,4415.9
Ago,Angola,1970,1-4 Years,Both,46178,5125.1
Ago,Angola,1970,5-9 Years,Male,1842,426.6
Ago,Angola,1970,5-9 Years,Female,1444,328.7
Ago,Angola,1970,5-9 Years,Both,3286,377.2
Ago,Angola,1970,10-14 Years,Male,1121,316.0
Ago,Angola,1970,10-14 Years,Female,736,203.1
Ago,Angola,1970,10-14 Years,Both,1857,258.9
Ago,Angola,1970,15-19 Years,Male,1302,442.1
Ago,Angola,1970,15-19 Years,Female,812,268.7
Ago,Angola,1970,15-19 Years,Both,2113,354.3
Ago,Angola,1970,20-24 Years,Male,1595,686.7
Ago,Angola,1970,20-24 Years,Female,971,410.6
Ago,Angola,1970,20-24 Years,Both,2567,547.4
Ago,Angola,1970,25-29 Years,Male,1587,788.0
Ago,Angola,1970,25-29 Years,Female,1050,505.6
Ago,Angola,1970,25-29 Years,Both,2637,644.7
Ago,Angola,1970,30-34 Years,Male,1616,933.2
Ago,Angola,1970,30-34 Years,Female,1051,585.8
Ago,Angola,1970,30-34 Years,Both,2667,756.4
Ago,Angola,1970,35-39 Years,Male,1918,1287.6
Ago,Angola,1970,35-39 Years,Female,1143,738.8
Ago,Angola,1970,35-39 Years,Both,3060,1008.0
Ago,Angola,1970,40-44 Years,Male,2081,1647.9
Ago,Angola,1970,40-44 Years,Female,1069,806.9
Ago,Angola,1970,40-44 Years,Both,3150,1217.4
Ago,Angola,1970,45-49 Years,Male,2303,2184.8
Ago,Angola,1970,45-49 Years,Female,1096,974.1
Ago,Angola,1970,45-49 Years,Both,3399,1559.7
Ago,Angola,1970,50-54 Years,Male,2552,2965.9
Ago,Angola,1970,50-54 Years,Female,1280,1356.8
Ago,Angola,1970,50-54 Years,Both,3832,2124.3
Ago,Angola,1970,55-59 Years,Male,2564,3786.0
Ago,Angola,1970,55-59 Years,Female,1382,1794.2
Ago,Angola,1970,55-59 Years,Both,3946,2726.1
Ago,Angola,1970,60-64 Years,Male,2827,5602.4
Ago,Angola,1970,60-64 Years,Female,1760,2935.8
Ago,Angola,1970,60-64 Years,Both,4587,4154.7
Ago,Angola,1970,65-69 Years,Male,2442,7073.4
Ago,Angola,1970,65-69 Years,Female,1819,4255.3
Ago,Angola,1970,65-69 Years,Both,4262,5514.4
Ago,Angola,1970,70-74 Years,Male,1935,9493.6
Ago,Angola,1970,70-74 Years,Female,1701,6333.7
Ago,Angola,1970,70-74 Years,Both,3635,7696.9
Ago,Angola,1970,75-79 Years,Male,1183,12174.9
Ago,Angola,1970,75-79 Years,Female,1212,8811.1
Ago,Angola,1970,75-79 Years,Both,2395,10203.8
Ago,Angola,1970,80+ Years,Male,648,17062.5
Ago,Angola,1970,80+ Years,Female,890,13774.9
Ago,Angola,1970,80+ Years,Both,1538,14992.4
Ago,Angola,1970,All Ages,Male,79780,2718.8
Ago,Angola,1970,All Ages,Female,58802,1937.0
Ago,Angola,1970,All Ages,Both,138582,2321.3
Ago,Angola,1980,0-6 Days,Male,6400,164960.7
Ago,Angola,1980,0-6 Days,Female,5168,137010.5
Ago,Angola,1980,0-6 Days,Both,11569,151163.1
Ago,Angola,1980,7-27 Days,Male,5223,46196.8
Ago,Angola,1980,7-27 Days,Female,4471,40647.8
Ago,Angola,1980,7-27 Days,Both,9694,43460.5
Ago,Angola,1980,28-364 Days,Male,15566,9174.3
Ago,Angola,1980,28-364 Days,Female,12646,7647.6
Ago,Angola,1980,28-364 Days,Both,28212,8420.8
Ago,Angola,1980,1-4 Years,Male,28623,4973.9
Ago,Angola,1980,1-4 Years,Female,21541,3773.9
Ago,Angola,1980,1-4 Years,Both,50164,4376.3
Ago,Angola,1980,5-9 Years,Male,2000,358.7
Ago,Angola,1980,5-9 Years,Female,1599,283.8
Ago,Angola,1980,5-9 Years,Both,3599,321.0
Ago,Angola,1980,10-14 Years,Male,1282,275.5
Ago,Angola,1980,10-14 Years,Female,883,187.1
Ago,Angola,1980,10-14 Years,Both,2165,231.0
Ago,Angola,1980,15-19 Years,Male,1626,410.2
Ago,Angola,1980,15-19 Years,Female,1038,257.4
Ago,Angola,1980,15-19 Years,Both,2664,333.1
Ago,Angola,1980,20-24 Years,Male,2093,642.2
Ago,Angola,1980,20-24 Years,Female,1310,391.2
Ago,Angola,1980,20-24 Years,Both,3403,515.0
Ago,Angola,1980,25-29 Years,Male,1955,737.0
Ago,Angola,1980,25-29 Years,Female,1331,481.5
Ago,Angola,1980,25-29 Years,Both,3286,606.6
Ago,Angola,1980,30-34 Years,Male,1803,873.1
Ago,Angola,1980,30-34 Years,Female,1199,560.9
Ago,Angola,1980,30-34 Years,Both,3002,714.3
Ago,Angola,1980,35-39 Years,Male,2150,1208.8
Ago,Angola,1980,35-39 Years,Female,1331,719.7
Ago,Angola,1980,35-39 Years,Both,3481,959.5
Ago,Angola,1980,40-44 Years,Male,2335,1550.5
Ago,Angola,1980,40-44 Years,Female,1239,786.8
Ago,Angola,1980,40-44 Years,Both,3574,1160.1
Ago,Angola,1980,45-49 Years,Male,2605,2061.7
Ago,Angola,1980,45-49 Years,Female,1276,951.5
Ago,Angola,1980,45-49 Years,Both,3882,1490.1
Ago,Angola,1980,50-54 Years,Male,2915,2810.9
Ago,Angola,1980,50-54 Years,Female,1502,1328.7
Ago,Angola,1980,50-54 Years,Both,4417,2037.8
Ago,Angola,1980,55-59 Years,Male,2981,3610.6
Ago,Angola,1980,55-59 Years,Female,1636,1760.6
Ago,Angola,1980,55-59 Years,Both,4617,2631.0
Ago,Angola,1980,60-64 Years,Male,3345,5341.6
Ago,Angola,1980,60-64 Years,Female,2103,2879.9
Ago,Angola,1980,60-64 Years,Both,5447,4016.4
Ago,Angola,1980,65-69 Years,Male,3004,6862.4
Ago,Angola,1980,65-69 Years,Female,2230,4187.2
Ago,Angola,1980,65-69 Years,Both,5234,5394.0
Ago,Angola,1980,70-74 Years,Male,2476,9240.3
Ago,Angola,1980,70-74 Years,Female,2152,6243.8
Ago,Angola,1980,70-74 Years,Both,4628,7554.7
Ago,Angola,1980,75-79 Years,Male,1568,11793.8
Ago,Angola,1980,75-79 Years,Female,1604,8709.5
Ago,Angola,1980,75-79 Years,Both,3172,10002.5
Ago,Angola,1980,80+ Years,Male,1015,16729.0
Ago,Angola,1980,80+ Years,Female,1364,13671.6
Ago,Angola,1980,80+ Years,Both,2379,14827.4
Ago,Angola,1980,All Ages,Male,90965,2412.3
Ago,Angola,1980,All Ages,Female,67624,1740.0
Ago,Angola,1980,All Ages,Both,158589,2071.1
Ago,Angola,1990,0-6 Days,Male,7455,141873.4
Ago,Angola,1990,0-6 Days,Female,6142,120260.8
Ago,Angola,1990,0-6 Days,Both,13597,131221.4
Ago,Angola,1990,7-27 Days,Male,5806,37762.8
Ago,Angola,1990,7-27 Days,Female,5047,33753.4
Ago,Angola,1990,7-27 Days,Both,10854,35784.7
Ago,Angola,1990,28-364 Days,Male,18101,7755.1
Ago,Angola,1990,28-364 Days,Female,14665,6449.4
Ago,Angola,1990,28-364 Days,Both,32765,7110.8
Ago,Angola,1990,1-4 Years,Male,32426,3892.3
Ago,Angola,1990,1-4 Years,Female,24181,2940.8
Ago,Angola,1990,1-4 Years,Both,56607,3419.7
Ago,Angola,1990,5-9 Years,Male,2323,296.2
