customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4183-Myfrb,Female,0,No,No,21,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,90.05,1862.9,No
8779-Qrdmv,Male,1,No,No,1,No,No Phone Service,Dsl,No,No,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,39.65,39.65,Yes
1680-Vdcww,Male,0,Yes,No,12,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Transfer (Automatic),19.8,202.25,No
1066-Jksgk,Male,0,No,No,1,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,20.15,20.15,Yes
3638-Weabw,Female,0,Yes,No,58,Yes,Yes,Dsl,No,Yes,No,Yes,No,No,Two Year,Yes,Credit Card (Automatic),59.9,3505.1,No
6322-Hrpfa,Male,0,Yes,Yes,49,Yes,No,Dsl,Yes,Yes,No,Yes,No,No,Month-To-Month,No,Credit Card (Automatic),59.6,2970.3,No
6865-Jznko,Female,0,No,No,30,Yes,No,Dsl,Yes,Yes,No,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),55.3,1530.6,No
6467-Chfzw,Male,0,Yes,Yes,47,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,99.35,4749.15,Yes
8665-Utdhz,Male,0,Yes,Yes,1,No,No Phone Service,Dsl,No,Yes,No,No,No,No,Month-To-Month,No,Electronic Check,30.2,30.2,Yes
5248-Ygijn,Male,0,Yes,No,72,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),90.25,6369.45,No
8773-Hhuoz,Female,0,No,Yes,17,Yes,No,Dsl,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,64.7,1093.1,Yes
3841-Nfecx,Female,1,Yes,No,71,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card (Automatic),96.35,6766.95,No
4929-Xihvw,Male,1,Yes,No,2,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),95.5,181.65,No
6827-Ieauq,Female,0,Yes,Yes,27,Yes,No,Dsl,Yes,Yes,Yes,Yes,No,No,One Year,No,Mailed Check,66.15,1874.45,No
7310-Egvhz,Male,0,No,No,1,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Bank Transfer (Automatic),20.2,20.2,No
3413-Bmnze,Male,1,No,No,1,Yes,No,Dsl,No,No,No,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),45.25,45.25,No
6234-Raapl,Female,0,Yes,Yes,72,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Two Year,No,Bank Transfer (Automatic),99.9,7251.7,No
6047-Yhpvi,Male,0,No,No,5,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,69.7,316.9,Yes
6572-Adkrs,Female,0,No,No,46,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),74.8,3548.3,No
5380-Wjkov,Male,0,No,No,34,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,106.35,3549.25,Yes
8168-Uqwwf,Female,0,No,No,11,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),97.85,1105.4,Yes
8865-Tnmnx,Male,0,Yes,Yes,10,Yes,No,Dsl,No,Yes,No,No,No,No,One Year,No,Mailed Check,49.55,475.7,No
9489-Dedvp,Female,0,Yes,Yes,70,Yes,Yes,Dsl,Yes,Yes,No,No,Yes,No,Two Year,Yes,Credit Card (Automatic),69.2,4872.35,No
9867-Jczsp,Female,0,Yes,Yes,17,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,20.75,418.25,No
4671-Vjlcl,Female,0,No,No,63,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card (Automatic),79.85,4861.45,No
4080-Iiard,Female,0,Yes,No,13,Yes,Yes,Dsl,Yes,Yes,No,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,76.2,981.45,No
3714-Ntnfo,Female,0,No,No,49,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,84.5,3906.7,No
5948-Ujzlf,Male,0,No,No,2,Yes,No,Dsl,No,Yes,No,No,No,No,Month-To-Month,No,Mailed Check,49.25,97,No
7760-Oypdy,Female,0,No,No,2,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,80.65,144.15,Yes
7639-Liayi,Male,0,No,No,52,Yes,Yes,Dsl,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),79.75,4217.8,No
2954-Pibko,Female,0,Yes,Yes,69,Yes,Yes,Dsl,Yes,No,Yes,Yes,No,No,Two Year,Yes,Credit Card (Automatic),64.15,4254.1,No
8012-Soudq,Female,1,No,No,43,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,90.25,3838.75,No
9420-Lojkx,Female,0,No,No,15,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),99.1,1426.4,Yes
6575-Suvoi,Female,1,Yes,No,25,Yes,Yes,Dsl,Yes,No,No,Yes,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),69.5,1752.65,No
7495-Ookfy,Female,1,Yes,No,8,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),80.65,633.3,Yes
4667-Qonea,Female,1,Yes,Yes,60,Yes,No,Dsl,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Credit Card (Automatic),74.85,4456.35,No
1658-Bygoy,Male,1,No,No,18,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,95.45,1752.55,Yes
8769-Kktph,Female,0,Yes,Yes,63,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,One Year,Yes,Credit Card (Automatic),99.65,6311.2,No
5067-Xjqfu,Male,1,Yes,Yes,66,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Electronic Check,108.45,7076.35,No
3957-Sqxml,Female,0,Yes,Yes,34,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card (Automatic),24.95,894.3,No
5954-Bdfsg,Female,0,No,No,72,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),107.5,7853.7,No
0434-Csfon,Female,0,Yes,No,47,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,100.5,4707.1,No
1215-Figmp,Male,0,No,No,60,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),89.9,5450.7,No
0526-Sxdjp,Male,0,Yes,No,72,No,No Phone Service,Dsl,Yes,Yes,Yes,No,No,No,Two Year,No,Bank Transfer (Automatic),42.1,2962,No
0557-Askvu,Female,0,Yes,Yes,18,Yes,No,Dsl,No,No,Yes,Yes,No,No,One Year,Yes,Credit Card (Automatic),54.4,957.1,No
5698-Bqjoh,Female,0,No,No,9,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,94.4,857.25,Yes
5122-Cyfxa,Female,0,No,No,3,Yes,No,Dsl,No,Yes,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,75.3,244.1,No
8627-Zygsz,Male,0,Yes,No,47,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,One Year,Yes,Electronic Check,78.9,3650.35,No
3410-Yoqbq,Female,0,No,No,31,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,79.2,2497.2,No
3170-Nmyvv,Female,0,Yes,Yes,50,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Automatic),20.15,930.9,No
7410-Oiedu,Male,0,No,No,10,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,79.85,887.35,No
2273-Qckxa,Male,0,No,No,1,Yes,No,Dsl,No,No,No,Yes,No,No,Month-To-Month,No,Mailed Check,49.05,49.05,No
0731-Ebjqb,Female,0,Yes,Yes,52,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Electronic Check,20.4,1090.65,No
1891-Qrqsa,Male,1,Yes,Yes,64,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),111.6,7099,No
8028-Pnxhq,Male,0,Yes,Yes,62,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer (Automatic),24.25,1424.6,No
5630-Ahzil,Female,0,No,Yes,3,Yes,No,Dsl,Yes,No,No,Yes,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),64.5,177.4,No
2673-Cxqeu,Female,1,No,No,56,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,One Year,No,Electronic Check,110.5,6139.5,No
6416-Jnvrk,Female,0,No,No,46,Yes,No,Dsl,No,No,No,No,No,Yes,One Year,No,Credit Card (Automatic),55.65,2688.85,No
5590-Zskrv,Female,0,Yes,Yes,8,Yes,No,Dsl,Yes,Yes,No,No,No,No,Month-To-Month,No,Mailed Check,54.65,482.25,No
0191-Zhskz,Male,1,No,No,30,Yes,No,Dsl,Yes,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,74.75,2111.3,No
3887-Pbqao,Female,0,Yes,Yes,45,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Credit Card (Automatic),25.9,1216.6,No
5919-Tmrgd,Female,0,No,Yes,1,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,79.35,79.35,Yes
8108-Uxrqn,Female,0,Yes,Yes,11,No,No Phone Service,Dsl,Yes,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,50.55,565.35,No
9191-Myqkx,Female,0,Yes,No,7,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),75.15,496.9,Yes
9919-Ylnng,Female,0,No,No,42,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),103.8,4327.5,No
0318-Zopws,Female,0,Yes,No,49,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer (Automatic),20.15,973.35,No
4445-Zjnmu,Male,0,No,No,9,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),99.3,918.75,No
4808-Ynleu,Female,0,Yes,No,35,Yes,No,Dsl,Yes,No,No,No,Yes,No,One Year,Yes,Bank Transfer (Automatic),62.15,2215.45,No
1862-Qrwpe,Female,0,Yes,Yes,48,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Automatic),20.65,1057,No
2796-Nnufi,Female,0,Yes,Yes,46,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Mailed Check,19.95,927.1,No
3016-Ksvcp,Male,0,Yes,No,29,No,No Phone Service,Dsl,No,No,No,No,Yes,No,Month-To-Month,No,Mailed Check,33.75,1009.25,No
4767-Hzzhq,Male,0,Yes,Yes,30,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),82.05,2570.2,No
2424-Wvhpl,Male,1,No,No,1,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Month-To-Month,No,Electronic Check,74.7,74.7,No
7233-Pahhl,Male,0,Yes,Yes,66,Yes,Yes,Dsl,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,84.0,5714.25,No
6067-Ngceu,Female,0,No,No,65,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),111.05,7107,No
9848-Jqjtx,Male,0,No,No,72,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),100.9,7459.05,No
8637-Xjivr,Female,0,No,No,12,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,78.95,927.35,Yes
9803-Ftjcg,Male,0,Yes,Yes,71,Yes,Yes,Dsl,Yes,Yes,No,Yes,No,No,One Year,Yes,Credit Card (Automatic),66.85,4748.7,No
0278-Yxoog,Male,0,No,No,5,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,21.05,113.85,Yes
3212-Kxocr,Male,0,No,No,52,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Automatic),21.0,1107.2,No
4598-Xlknj,Female,1,Yes,No,25,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,98.5,2514.5,Yes
6380-Arceh,Male,0,No,No,1,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,20.2,20.2,No
3679-Xaspy,Female,0,Yes,Yes,1,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Electronic Check,19.45,19.45,No
7123-Wquhx,Male,0,No,No,38,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,One Year,No,Bank Transfer (Automatic),95.0,3605.6,No
5386-Thslq,Female,1,Yes,No,66,No,No Phone Service,Dsl,No,Yes,Yes,No,Yes,No,One Year,No,Bank Transfer (Automatic),45.55,3027.25,No
3192-Nqeca,Male,0,Yes,No,68,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),110.0,7611.85,Yes
6180-Ybiqi,Male,0,No,No,5,No,No Phone Service,Dsl,No,No,No,No,No,No,Month-To-Month,No,Mailed Check,24.3,100.2,No
6728-Dkuco,Female,0,Yes,Yes,72,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Electronic Check,104.15,7303.05,No
9750-Boohv,Female,0,No,No,32,No,No Phone Service,Dsl,Yes,No,No,No,No,No,One Year,No,Mailed Check,30.15,927.65,No
8597-Cwyhh,Male,0,No,No,43,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,One Year,No,Mailed Check,94.35,3921.3,No
2848-Yxsmw,Male,0,Yes,Yes,72,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card (Automatic),19.4,1363.25,No
0486-Heczi,Male,0,Yes,No,55,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,96.75,5238.9,Yes
4549-Zdqyy,Female,0,No,No,52,Yes,No,Dsl,Yes,No,Yes,Yes,No,No,One Year,No,Credit Card (Automatic),57.95,3042.25,No
5712-Ahqnn,Female,0,No,No,43,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-To-Month,Yes,Electronic Check,91.65,3954.1,No
4846-Whafz,Female,1,Yes,No,37,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,76.5,2868.15,Yes
5256-Skjgo,Female,0,Yes,Yes,64,No,No Phone Service,Dsl,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Electronic Check,54.6,3423.5,No
3071-Vbypo,Male,0,Yes,Yes,3,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-To-Month,No,Electronic Check,89.85,248.4,No
9560-Bbzxk,Female,0,No,No,36,No,No Phone Service,Dsl,Yes,No,No,No,No,No,Two Year,No,Bank Transfer (Automatic),31.05,1126.35,No
5299-Ruloa,Female,0,Yes,Yes,10,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,100.25,1064.65,Yes
8402-Ooohj,Female,0,No,No,41,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,20.65,835.15,No
9445-Zueqe,Male,0,Yes,Yes,27,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Month-To-Month,Yes,Credit Card (Automatic),85.2,2151.6,No
1091-Sozga,Female,0,Yes,Yes,56,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,One Year,Yes,Credit Card (Automatic),99.8,5515.45,No
2928-Hldba,Female,0,No,No,6,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,20.7,112.75,No
0404-Swrvg,Male,0,No,No,3,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,74.4,229.55,Yes
6497-Tilvl,Female,0,Yes,Yes,7,Yes,No,Dsl,Yes,No,No,No,No,No,Month-To-Month,No,Mailed Check,50.7,350.35,No
7219-Tlzho,Female,0,Yes,Yes,4,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,20.85,62.9,No
4622-Ynkij,Male,0,No,No,33,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Two Year,Yes,Electronic Check,88.95,3027.65,No
4412-Yltkf,Female,1,No,No,27,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,78.05,2135.5,Yes
6734-Psbaw,Male,0,Yes,No,72,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer (Automatic),23.55,1723.95,No
3930-Zgwve,Male,0,No,No,1,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,19.75,19.75,No
2639-Ugmaz,Male,1,No,No,71,No,No Phone Service,Dsl,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Electronic Check,56.45,3985.35,No
2876-Gzyzc,Female,0,No,No,13,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,85.95,1215.65,No
6207-Wiolx,Female,0,Yes,Yes,25,No,No Phone Service,Dsl,Yes,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),58.6,1502.65,Yes
8587-Xyzsf,Male,0,No,No,67,Yes,No,Dsl,No,No,No,Yes,No,No,Two Year,No,Bank Transfer (Automatic),50.55,3260.1,No
3091-Fyhki,Male,0,No,No,1,No,No Phone Service,Dsl,No,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,35.45,35.45,Yes
2372-Hwuhi,Male,0,No,No,2,Yes,No,Dsl,No,No,No,No,No,No,Month-To-Month,No,Electronic Check,44.35,81.25,Yes
7799-Lgrdp,Female,0,No,No,43,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card (Automatic),25.7,1188.2,No
7850-Vwjuu,Female,0,No,No,23,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),75.0,1778.5,No
3774-Vbnxy,Female,0,Yes,Yes,64,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,20.2,1277.75,No
6217-Kdywc,Male,0,No,Yes,57,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Mailed Check,19.6,1170.55,No
0390-Dcfdq,Female,1,Yes,No,1,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,70.45,70.45,Yes
3146-Msegf,Female,1,Yes,Yes,72,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),88.05,6425.65,No
4080-Ogpjl,Female,0,No,No,8,Yes,Yes,Dsl,Yes,No,No,Yes,No,Yes,Month-To-Month,No,Electronic Check,71.15,563.65,Yes
1095-Wgngg,Female,0,Yes,No,61,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),101.05,5971.25,No
2636-Sjdou,Male,0,No,No,64,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,One Year,Yes,Credit Card (Automatic),84.3,5289.05,No
1131-Qqzeb,Male,1,Yes,No,71,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Automatic),23.95,1756.2,No
5716-Ezxzn,Female,0,Yes,Yes,65,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Two Year,Yes,Credit Card (Automatic),99.05,6416.7,No
6837-Bjydq,Male,0,No,No,3,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,19.6,61.35,No
2135-Rxihg,Male,0,No,No,1,Yes,No,Dsl,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,45.65,45.65,Yes
6440-Dkqge,Male,0,No,Yes,30,Yes,No,Dsl,No,Yes,Yes,No,Yes,No,One Year,No,Credit Card (Automatic),64.5,1929.95,No
3466-Byavd,Male,0,Yes,Yes,15,Yes,No,Dsl,No,Yes,Yes,Yes,No,Yes,Month-To-Month,Yes,Mailed Check,69.5,1071.4,No
3780-Yvmfa,Female,0,Yes,Yes,8,Yes,No,Dsl,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,68.55,564.35,No
3874-Eqoep,Male,0,No,No,7,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,No,Mailed Check,95.0,655.5,Yes
1679-Jrfbr,Female,0,Yes,Yes,70,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,One Year,Yes,Credit Card (Automatic),108.15,7930.55,No
9073-Zziay,Male,0,Yes,Yes,62,Yes,No,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Electronic Check,86.1,5215.25,No
3077-Rsntj,Female,0,Yes,Yes,6,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,19.7,113.5,No
6551-Gnydg,Female,0,Yes,Yes,14,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),80.9,1152.8,No
9167-Apmxz,Female,0,No,No,22,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),84.15,1821.95,No
2749-Ctkaj,Male,0,Yes,Yes,22,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,20.15,419.9,No
