show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
S4833,Tv Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,Tv-Y,1 Season,Kids' Tv
S4857,Tv Show,Dance & Sing With True,"Mark Thornton, Todd Kauffman",United States,2018-05-18,2018,Tv-Y,1 Season,Kids' Tv
S7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Not Given,2021-09-24,2021,Pg,91 Min,Children & Family Movies
S12,Tv Show,Bangkok Breaking,Kongkiat Komesiri,Not Given,2021-09-23,2021,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Tv Action & Adventure"
S17,Movie,Europe'S Most Dangerous Man: Otto Skorzeny In Spain,"Pedro De Echave García, Pablo Azorín Williams",Not Given,2021-09-22,2020,Tv-Ma,67 Min,"Documentaries, International Movies"
S7930,Movie,Samudri Lootere,Anirban Majumder,Not Given,2019-06-18,2018,Tv-Y,65 Min,Children & Family Movies
S21,Tv Show,Monsters Inside: The 24 Faces Of Billy Milligan,Olivier Megaton,United States,2021-09-22,2021,Tv-14,1 Season,"Crime Tv Shows, Docuseries, International Tv Shows"
S24,Movie,Go! Go! Cory Carson: Chrissy Takes The Wheel,"Alex Woo, Stanley Moore",United States,2021-09-21,2021,Tv-Y,61 Min,Children & Family Movies
S25,Movie,Jeans,S. Shankar,India,2021-09-21,1998,Tv-14,166 Min,"Comedies, International Movies, Romantic Movies"
S28,Movie,Grown Ups,Dennis Dugan,United States,2021-09-20,2010,Pg-13,103 Min,Comedies
S29,Movie,Dark Skies,Scott Stewart,United States,2021-09-19,2013,Pg-13,97 Min,"Horror Movies, Sci-Fi & Fantasy"
S30,Movie,Paranoia,Robert Luketic,United States,2021-09-19,2013,Pg-13,106 Min,Thrillers
S20,Tv Show,Jaguar,Not Given,Pakistan,2021-09-22,2021,Tv-Ma,1 Season,"International Tv Shows, Spanish-Language Tv Shows, Tv Action & Adventure"
S32,Tv Show,Chicago Party Aunt,Not Given,Pakistan,2021-09-17,2021,Tv-Ma,1 Season,Tv Comedies
S34,Tv Show,Squid Game,Not Given,Pakistan,2021-09-17,2021,Tv-Ma,1 Season,"International Tv Shows, Tv Dramas, Tv Thrillers"
S35,Tv Show,Tayo And Little Wizards,Not Given,Pakistan,2021-09-17,2020,Tv-Y7,1 Season,Kids' Tv
S75,Tv Show,The World'S Most Amazing Vacation Rentals,Not Given,Pakistan,2021-09-14,2021,Tv-Pg,2 Seasons,Reality Tv
S84,Tv Show,Metal Shop Masters,Not Given,Pakistan,2021-09-10,2021,Tv-Ma,1 Season,Reality Tv
S86,Tv Show,Pokémon Master Journeys: The Series,Not Given,Pakistan,2021-09-10,2021,Tv-Y7,1 Season,"Anime Series, Kids' Tv"
S88,Tv Show,Titipo Titipo,Not Given,Pakistan,2021-09-10,2019,Tv-Y,2 Seasons,"Kids' Tv, Korean Tv Shows"
S90,Tv Show,Mighty Raju,Not Given,Pakistan,2021-09-09,2017,Tv-Y7,4 Seasons,Kids' Tv
S101,Tv Show,Tobot Galaxy Detectives,Not Given,Pakistan,2021-09-07,2019,Tv-Y7,2 Seasons,Kids' Tv
S122,Tv Show,Hotel Del Luna,Not Given,Pakistan,2021-09-02,2019,Tv-14,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies"
S133,Tv Show,Brave Animated Series,Not Given,Pakistan,2021-09-01,2021,Tv-Ma,1 Season,"International Tv Shows, Tv Action & Adventure, Tv Comedies"
S148,Tv Show,How To Be A Cowboy,Not Given,Pakistan,2021-09-01,2021,Tv-Pg,1 Season,Reality Tv
S166,Tv Show,Oldsters,Not Given,Pakistan,2021-09-01,2019,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Spanish-Language Tv Shows"
S190,Tv Show,Bread Barbershop,Not Given,Pakistan,2021-08-28,2020,Tv-Y,2 Seasons,"Kids' Tv, Tv Comedies"
S182,Tv Show,Turning Point: 9/11 And The War On Terror,Not Given,Pakistan,2021-09-01,2021,Tv-14,1 Season,Docuseries
S187,Tv Show,Hometown Cha-Cha-Cha,Not Given,Pakistan,2021-08-29,2021,Tv-14,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies"
S188,Tv Show,The Ingenuity Of The Househusband,Not Given,Pakistan,2021-08-29,2021,Tv-G,1 Season,"International Tv Shows, Tv Comedies"
S27,Movie,Minsara Kanavu,Rajiv Menon,India,2021-09-21,1997,Tv-Pg,147 Min,"Comedies, International Movies, Music & Musicals"
S19,Movie,Intrusion,Adam Salky,Not Given,2021-09-22,2021,Tv-14,94 Min,Thrillers
S23,Movie,Avvai Shanmughi,K.S. Ravikumar,Not Given,2021-09-21,1996,Tv-Pg,161 Min,"Comedies, International Movies"
S31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Not Given,2021-09-17,2021,Tv-14,111 Min,"Dramas, Independent Movies, International Movies"
S36,Movie,The Father Who Moves Mountains,Daniel Sandu,Not Given,2021-09-17,2021,Tv-Ma,110 Min,"Dramas, International Movies, Thrillers"
S37,Movie,The Stronghold,Cédric Jimenez,Not Given,2021-09-17,2021,Tv-Ma,105 Min,"Action & Adventure, Dramas, International Movies"
S39,Movie,Birth Of The Dragon,George Nolfi,China,2021-09-16,2017,Pg-13,96 Min,"Action & Adventure, Dramas"
S48,Tv Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,2021-09-16,2020,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies"
S76,Movie,You Vs. Wild: Out Cold,Ben Simms,United States,2021-09-14,2021,Tv-G,106 Min,Children & Family Movies
S42,Movie,Jaws,Steven Spielberg,United States,2021-09-16,1975,Pg,124 Min,"Action & Adventure, Classic Movies, Dramas"
S43,Movie,Jaws 2,Jeannot Szwarc,United States,2021-09-16,1978,Pg,116 Min,"Dramas, Horror Movies, Thrillers"
S44,Movie,Jaws 3,Joe Alves,United States,2021-09-16,1983,Pg,98 Min,"Action & Adventure, Horror Movies, Thrillers"
S45,Movie,Jaws: The Revenge,Joseph Sargent,United States,2021-09-16,1987,Pg-13,91 Min,"Action & Adventure, Horror Movies, Thrillers"
S47,Movie,Safe House,Daniel Espinosa,South Africa,2021-09-16,2012,R,115 Min,Action & Adventure
S49,Movie,Training Day,Antoine Fuqua,United States,2021-09-16,2001,R,122 Min,"Dramas, Thrillers"
S1093,Movie,Dolly Parton: A Musicares Tribute,Not Given,Pakistan,2021-04-07,2021,Tv-Pg,55 Min,"Documentaries, Music & Musicals"
S195,Tv Show,Deadly Sins,Not Given,Pakistan,2021-08-27,2002,Tv-Ma,1 Season,"International Tv Shows, Spanish-Language Tv Shows, Tv Dramas"
S52,Movie,Inuyasha The Movie 2: The Castle Beyond The Looking Glass,Toshiya Shinohara,Japan,2021-09-15,2002,Tv-14,99 Min,"Action & Adventure, Anime Features, International Movies"
S53,Movie,Inuyasha The Movie 3: Swords Of An Honorable Ruler,Toshiya Shinohara,Japan,2021-09-15,2003,Tv-14,99 Min,"Action & Adventure, Anime Features, International Movies"
S54,Movie,Inuyasha The Movie 4: Fire On The Mystic Island,Toshiya Shinohara,Japan,2021-09-15,2004,Tv-Pg,88 Min,"Action & Adventure, Anime Features, International Movies"
S55,Movie,Inuyasha The Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,2021-09-15,2001,Tv-Pg,100 Min,"Action & Adventure, Anime Features, International Movies"
S198,Tv Show,I Heart Arlo,Not Given,Pakistan,2021-08-27,2021,Tv-Y7,1 Season,"Kids' Tv, Tv Comedies"
S56,Tv Show,Nailed It,Not Given,United States,2021-09-15,2021,Tv-Pg,6 Seasons,Reality Tv
S498,Tv Show,Cat People,Not Given,Pakistan,2021-07-07,2021,Tv-14,1 Season,Docuseries
S214,Tv Show,Ride On Time,Not Given,Pakistan,2021-08-27,2021,Tv-Pg,3 Seasons,"Docuseries, International Tv Shows"
S219,Tv Show,Titletown High,Not Given,Pakistan,2021-08-27,2021,Tv-14,1 Season,"Reality Tv, Teen Tv Shows"
S225,Tv Show,Motel Makeover,Not Given,Pakistan,2021-08-25,2021,Tv-14,1 Season,"International Tv Shows, Reality Tv"
S226,Tv Show,Open Your Eyes,Not Given,Pakistan,2021-08-25,2021,Tv-Ma,1 Season,"International Tv Shows, Tv Dramas, Tv Mysteries"
S227,Tv Show,Post Mortem: No One Dies In Skarnes,Not Given,Pakistan,2021-08-25,2021,Tv-Ma,1 Season,"International Tv Shows, Tv Comedies, Tv Dramas"
S46,Movie,My Heroes Were Cowboys,Tyler Greco,Not Given,2021-09-16,2021,Pg,23 Min,Documentaries
S57,Movie,Naruto Shippuden The Movie: Blood Prison,Masahiko Murata,Japan,2021-09-15,2011,Tv-14,102 Min,"Action & Adventure, Anime Features, International Movies"
S58,Movie,Naruto Shippûden The Movie: Bonds,Hajime Kamegaki,Japan,2021-09-15,2008,Tv-Pg,93 Min,"Action & Adventure, Anime Features, International Movies"
S59,Movie,Naruto Shippûden The Movie: The Will Of Fire,Masahiko Murata,Japan,2021-09-15,2009,Tv-Pg,96 Min,"Action & Adventure, Anime Features, International Movies"
S60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,2021-09-15,2007,Tv-Pg,95 Min,"Action & Adventure, Anime Features, International Movies"
S61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,2021-09-15,2010,Tv-14,85 Min,"Action & Adventure, Anime Features, International Movies"
S62,Movie,Naruto The Movie 2: Legend Of The Stone Of Gelel,Hirotsugu Kawasaki,Japan,2021-09-15,2005,Tv-Pg,97 Min,"Action & Adventure, Anime Features, International Movies"
S63,Movie,Naruto The Movie 3: Guardians Of The Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,2021-09-15,2006,Tv-Pg,95 Min,"Action & Adventure, Anime Features, International Movies"
S64,Movie,Naruto The Movie: Ninja Clash In The Land Of Snow,Tensai Okamura,Japan,2021-09-15,2004,Tv-Pg,83 Min,"Action & Adventure, Anime Features, International Movies"
S243,Tv Show,Comedy Premium League,Not Given,Pakistan,2021-08-20,2021,Tv-Ma,1 Season,"International Tv Shows, Tv Comedies"
S244,Tv Show,Everything Will Be Fine,Not Given,Pakistan,2021-08-20,2021,Tv-Ma,1 Season,"International Tv Shows, Spanish-Language Tv Shows, Tv Comedies"
S246,Tv Show,Korean Cold Noodle Rhapsody,Not Given,Pakistan,2021-08-20,2021,Tv-Pg,1 Season,"Docuseries, International Tv Shows"
S249,Tv Show,The Chair,Not Given,Pakistan,2021-08-20,2021,Tv-Ma,1 Season,"Tv Comedies, Tv Dramas"
S261,Tv Show,The Defeated,Not Given,Pakistan,2021-08-18,2020,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Tv Dramas"
S310,Tv Show,Car Masters: Rust To Riches,Not Given,Pakistan,2021-08-04,2021,Tv-Pg,3 Seasons,Reality Tv
S74,Movie,King Of Boys,Kemi Adetiba,Nigeria,2021-09-14,2018,Tv-Ma,182 Min,"Dramas, International Movies"
S321,Tv Show,Top Secret Ufo Projects: Declassified,Not Given,Pakistan,2021-08-03,2021,Tv-Pg,1 Season,Docuseries
S337,Tv Show,Friday Night Lights,Not Given,Pakistan,2021-08-01,2010,Tv-14,5 Seasons,"Tv Dramas, Teen Tv Shows"
S365,Tv Show,Centaurworld,Not Given,Pakistan,2021-07-30,2021,Tv-Y7,1 Season,"Kids' Tv, Tv Comedies"
S369,Tv Show,Khawatir,Not Given,Pakistan,2021-07-30,2009,Tv-14,1 Season,"International Tv Shows, Reality Tv"
S370,Tv Show,Myth & Mogul: John Delorean,Not Given,Pakistan,2021-07-30,2021,Tv-14,1 Season,"British Tv Shows, Crime Tv Shows, Docuseries"
S377,Tv Show,Transformers: War For Cybertron: Kingdom,Not Given,Pakistan,2021-07-29,2021,Tv-Y7,1 Season,Anime Series
S380,Tv Show,Tattoo Redo,Not Given,Pakistan,2021-07-28,2021,Tv-Ma,1 Season,Reality Tv
S382,Tv Show,The Snitch Cartel: Origins,Not Given,Pakistan,2021-07-28,2021,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Spanish-Language Tv Shows"
S398,Tv Show,Feels Like Ishq,Not Given,Pakistan,2021-07-23,2021,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies"
S483,Tv Show,How To Become A Tyrant,Not Given,Pakistan,2021-07-09,2021,Tv-Ma,1 Season,Docuseries
S82,Movie,Kate,Cedric Nicolas-Troyan,United States,2021-09-10,2021,R,106 Min,Action & Adventure
S85,Movie,Omo Ghetto: The Saga,"Jjc Skillz, Funke Akindele",Nigeria,2021-09-10,2020,Tv-Ma,147 Min,"Action & Adventure, Comedies, Dramas"
S87,Movie,Prey,Thomas Sieben,Germany,2021-09-10,2021,Tv-Ma,87 Min,"International Movies, Thrillers"
S401,Tv Show,Revelations: The Masters Of The Universe: Revelation Aftershow,Not Given,Pakistan,2021-07-23,2021,Tv-Pg,1 Season,"Anime Series, Stand-Up Comedy & Talk Shows"
S405,Movie,9To5: The Story Of A Movement,Not Given,Pakistan,2021-07-22,2021,Tv-Ma,85 Min,Documentaries
S91,Movie,Paradise Hills,Alice Waddington,Spain,2021-09-09,2019,Tv-Ma,95 Min,"Sci-Fi & Fantasy, Thrillers"
S92,Movie,The Women And The Murderer,"Mona Achache, Patricia Tourancheau",France,2021-09-09,2021,Tv-14,92 Min,"Documentaries, International Movies"
S431,Tv Show,Sexy Beasts,Not Given,Pakistan,2021-07-21,2021,Tv-14,1 Season,"British Tv Shows, International Tv Shows, Reality Tv"
S95,Movie,Show Dogs,Raja Gosnell,United Kingdom,2021-09-08,2018,Pg,90 Min,"Children & Family Movies, Comedies"
S1071,Movie,Why Did You Kill Me?,Fredrick Munk,United States,2021-04-14,2021,Tv-Ma,84 Min,Documentaries
S432,Tv Show,Too Hot To Handle: Brazil,Not Given,Pakistan,2021-07-21,2021,Tv-Ma,1 Season,"International Tv Shows, Reality Tv, Romantic Tv Shows"
S436,Tv Show,Touch Your Heart,Not Given,Pakistan,2021-07-20,2019,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Romantic Tv Shows"
S467,Tv Show,My Unorthodox Life,Not Given,Pakistan,2021-07-14,2021,Tv-Ma,1 Season,Reality Tv
S488,Tv Show,The Cook Of Castamar,Not Given,Pakistan,2021-07-09,2021,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Spanish-Language Tv Shows"
S491,Tv Show,Elize Matsunaga: Once Upon A Crime,Not Given,Pakistan,2021-07-08,2021,Tv-Ma,1 Season,"Crime Tv Shows, Docuseries, International Tv Shows"
S505,Tv Show,The War Next-Door,Not Given,Pakistan,2021-07-07,2021,Tv-Ma,1 Season,"International Tv Shows, Spanish-Language Tv Shows, Tv Comedies"
S550,Tv Show,Big Timber,Not Given,Pakistan,2021-07-02,2020,Tv-14,1 Season,"International Tv Shows, Reality Tv"
S572,Tv Show,Generation 56K,Not Given,Pakistan,2021-07-01,2021,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies"
S591,Tv Show,Sailor Moon Crystal,Not Given,Pakistan,2021-07-01,2016,Tv-Y7,3 Seasons,"Anime Series, Kids' Tv"
S640,Tv Show,Godzilla Singular Point,Not Given,Pakistan,2021-06-24,2021,Tv-14,1 Season,"Anime Series, International Tv Shows"
S642,Movie,Sisters On Track,Not Given,Pakistan,2021-06-24,2021,Pg,97 Min,"Documentaries, Sports Movies"
S648,Tv Show,The Parisian Agency: Exclusive Properties,Not Given,Pakistan,2021-06-23,2021,Tv-G,1 Season,"International Tv Shows, Reality Tv"
S78,Movie,Little Singham - Black Shadow,Prakash Satam,Not Given,2021-09-11,2021,Tv-Y7,48 Min,"Children & Family Movies, Comedies"
S81,Movie,Firedrake The Silver Dragon,Tomer Eshed,Not Given,2021-09-10,2021,Tv-Y7,93 Min,Children & Family Movies
S79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,Not Given,2021-09-11,2020,Tv-14,145 Min,"Comedies, Dramas, International Movies"
S80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,Not Given,2021-09-11,2021,Tv-14,145 Min,"Comedies, Dramas, International Movies"
S89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,Not Given,2021-09-09,2021,Pg-13,96 Min,"Documentaries, Sports Movies"
S94,Movie,Jj+E,Alexis Almström,Not Given,2021-09-08,2021,Tv-Ma,91 Min,"Dramas, International Movies, Romantic Movies"
S113,Movie,Worth,Sara Colangelo,United States,2021-09-03,2021,Pg-13,119 Min,Dramas
S97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2021-09-07,2018,Tv-Ma,97 Min,"Documentaries, Music & Musicals"
S114,Movie,Afterlife Of The Party,Stephen Herek,United States,2021-09-02,2021,Tv-Pg,110 Min,"Comedies, Romantic Movies"
S654,Tv Show,This Is Pop,Not Given,Pakistan,2021-06-22,2021,Tv-Ma,1 Season,"Docuseries, International Tv Shows"
S659,Tv Show,"Nevertheless,",Not Given,Pakistan,2021-06-20,2021,Tv-14,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Dramas"
S762,Tv Show,Human: The World Within,Not Given,Pakistan,2021-06-04,2021,Tv-Pg,1 Season,"Docuseries, Science & Nature Tv"
S102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,2021-09-07,2021,Tv-Ma,80 Min,"Documentaries, Sports Movies"
S664,Tv Show,Charité At War,Not Given,Pakistan,2021-06-19,2019,Tv-Ma,1 Season,"International Tv Shows, Tv Dramas"
S106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2021-09-05,2017,Tv-14,128 Min,"Action & Adventure, Comedies, Dramas"
S698,Tv Show,Elite Short Stories: Carla Samuel,Not Given,Pakistan,2021-06-17,2021,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Spanish-Language Tv Shows"
S108,Movie,A Champion Heart,David De Vos,United States,2021-09-04,2018,G,90 Min,"Children & Family Movies, Dramas"
S701,Tv Show,Record Of Ragnarok,Not Given,Pakistan,2021-06-17,2021,Tv-Ma,1 Season,"Anime Series, International Tv Shows"
S707,Tv Show,Elite Short Stories: Omar Ander Alexis,Not Given,Pakistan,2021-06-16,2021,Tv-Ma,1 Season,"International Tv Shows, Spanish-Language Tv Shows, Tv Dramas"
S711,Tv Show,Penguin Town,Not Given,Pakistan,2021-06-16,2021,Tv-Pg,1 Season,"Docuseries, Science & Nature Tv"
S115,Movie,Anjaam,Rahul Rawail,India,2021-09-02,1994,Tv-14,143 Min,"Dramas, International Movies, Thrillers"
S715,Tv Show,Beyond Evil,Not Given,Pakistan,2021-06-15,2021,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Tv Thrillers"
S716,Tv Show,Elite Short Stories: Nadia Guzmán,Not Given,Pakistan,2021-06-15,2021,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Spanish-Language Tv Shows"
S718,Movie,Headspace: Unwind Your Mind,Not Given,Pakistan,2021-06-15,2021,Tv-G,273 Min,Documentaries
S721,Tv Show,Rhyme Time Town,Not Given,Pakistan,2021-06-15,2021,Tv-Y,2 Seasons,Kids' Tv
S726,Tv Show,Elite Short Stories: Guzmán Caye Rebe,Not Given,Pakistan,2021-06-14,2021,Tv-Ma,1 Season,"International Tv Shows, Spanish-Language Tv Shows, Tv Dramas"
S733,Movie,To All The Boys: Always And Forever - The Afterparty,Not Given,Pakistan,2021-06-12,2021,Tv-Ma,36 Min,Movies
S739,Movie,Trese After Dark,Not Given,Pakistan,2021-06-11,2021,Tv-14,36 Min,"Anime Features, Documentaries"
S752,Tv Show,Guru Aur Bhole,Not Given,Pakistan,2021-06-08,2018,Tv-Y7,2 Seasons,"Kids' Tv, Tv Comedies"
S843,Tv Show,High On The Hog: How African American Cuisine Transformed America,Not Given,Pakistan,2021-05-26,2021,Tv-14,1 Season,Docuseries
S848,Tv Show,Mad For Each Other,Not Given,Pakistan,2021-05-24,2021,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies"
S850,Movie,Sam Smith: Love Goes - Live At Abbey Road Studios,Not Given,Pakistan,2021-05-22,2020,Tv-G,61 Min,"International Movies, Music & Musicals"
S937,Tv Show,Miniforce: Super Dino Power,Not Given,Pakistan,2021-05-01,2020,Tv-Y7,1 Season,Kids' Tv
S928,Tv Show,Barney And Friends,Not Given,Pakistan,2021-05-01,2010,Tv-Y,2 Seasons,Kids' Tv
S958,Tv Show,Pet Stars,Not Given,Pakistan,2021-04-30,2021,Tv-Pg,1 Season,Reality Tv
S964,Tv Show,The Unremarkable Juanquini,Not Given,Pakistan,2021-04-30,2021,Tv-Ma,2 Seasons,"International Tv Shows, Spanish-Language Tv Shows, Tv Comedies"
S966,Tv Show,Yasuke,Not Given,Pakistan,2021-04-29,2021,Tv-Ma,1 Season,"Anime Series, International Tv Shows"
S968,Tv Show,Headspace Guide To Sleep,Not Given,Pakistan,2021-04-28,2021,Tv-G,1 Season,"Docuseries, Science & Nature Tv"
S103,Tv Show,Countdown: Inspiration4 Mission To Space,Jason Hehir,Not Given,2021-09-06,2021,Tv-14,1 Season,"Docuseries, Science & Nature Tv"
S104,Movie,Shadow Parties,Yemi Amodu,Not Given,2021-09-06,2020,Tv-Ma,117 Min,"Dramas, International Movies, Thrillers"
S111,Tv Show,Money Heist: From Tokyo To Berlin,"Luis Alfaro, Javier Gómez Santander",Not Given,2021-09-03,2021,Tv-Ma,1 Season,"Docuseries, International Tv Shows, Spanish-Language Tv Shows"
S116,Movie,Bright Star,Jane Campion,United Kingdom,2021-09-02,2009,Pg,119 Min,"Dramas, Romantic Movies"
S117,Movie,Dhanak,Nagesh Kukunoor,India,2021-09-02,2015,Tv-Pg,114 Min,"Comedies, Dramas, Independent Movies"
S118,Movie,Final Account,Luke Holland,United Kingdom,2021-09-02,2021,Pg-13,94 Min,Documentaries
S119,Movie,Gurgaon,Shanker Raman,India,2021-09-02,2017,Tv-14,106 Min,"Dramas, International Movies, Thrillers"
S120,Movie,Here And There,Jp Habac,Philippines,2021-09-02,2020,Tv-Ma,99 Min,"Dramas, International Movies, Romantic Movies"
S129,Movie,Agatha Christie'S Crooked House,Gilles Paquet-Brenner,France,2021-09-01,2017,Pg-13,115 Min,"Dramas, International Movies, Thrillers"
S123,Movie,In The Cut,Jane Campion,United Kingdom,2021-09-02,2003,R,118 Min,Thrillers
S1006,Movie,Keymon And Nani In Space Adventure,Not Given,Pakistan,2021-04-20,2013,Tv-Y,76 Min,"Children & Family Movies, Comedies"
S1011,Movie,Rudra: The Rise Of King Pharaoh,Not Given,Pakistan,2021-04-20,2019,Tv-Y7,91 Min,Children & Family Movies
S1026,Tv Show,Bakugan: Geogan Rising,Not Given,Pakistan,2021-04-16,2021,Tv-Y7,1 Season,"Anime Series, Kids' Tv"
S127,Movie,Shikara,Vidhu Vinod Chopra,India,2021-09-02,2020,Tv-14,115 Min,"Dramas, International Movies, Romantic Movies"
S128,Movie,A Cinderella Story,Mark Rosman,United States,2021-09-01,2004,Pg,95 Min,"Children & Family Movies, Comedies"
S130,Movie,An Unfinished Life,Lasse Hallström,Germany,2021-09-01,2005,Pg-13,108 Min,Dramas
S132,Movie,Blade Runner: The Final Cut,Ridley Scott,United States,2021-09-01,1982,R,117 Min,"Action & Adventure, Classic Movies, Cult Movies"
S1029,Movie,Dad Stop Embarrassing Me - The Afterparty,Not Given,Pakistan,2021-04-16,2021,Tv-14,37 Min,Comedies
S134,Movie,Chappie,Neill Blomkamp,South Africa,2021-09-01,2015,R,121 Min,"Action & Adventure, Sci-Fi & Fantasy"
S153,Movie,Janoskians: Untold And Untrue,Brett Weiner,United States,2021-09-01,2016,Tv-Ma,88 Min,Comedies
S1039,Tv Show,Dancing Angels,Not Given,Pakistan,2021-04-15,2016,Tv-Pg,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies"
S1083,Tv Show,Don'T Be The First One,Not Given,Pakistan,2021-04-11,2021,Tv-14,1 Season,"International Tv Shows, Reality Tv"
S1095,Tv Show,The Wedding Coach,Not Given,Pakistan,2021-04-07,2021,Tv-Ma,1 Season,"Reality Tv, Romantic Tv Shows"
S1096,Tv Show,This Is A Robbery: The World'S Biggest Art Heist,Not Given,Pakistan,2021-04-07,2021,Tv-Ma,1 Season,"Crime Tv Shows, Docuseries, Tv Mysteries"
S1117,Tv Show,Glimpses Of A Future,Not Given,Pakistan,2021-04-01,2020,Tv-Pg,1 Season,"Docuseries, International Tv Shows"
