age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
36,Management,Single,Tertiary,No,553,No,No,Cellular,11,1900-08-01,106,2,-1,0,Unknown,No
52,Blue-Collar,Married,Secondary,No,1117,Yes,No,Cellular,13,1900-05-01,365,1,-1,0,Unknown,No
32,Technician,Married,Tertiary,No,396,Yes,No,Cellular,13,1900-05-01,205,3,-1,0,Unknown,No
32,Technician,Single,Tertiary,No,2204,Yes,No,Cellular,21,1900-11-01,11,4,-1,0,Unknown,No
34,Management,Single,Tertiary,No,872,Yes,No,Unknown,7,1900-05-01,105,2,-1,0,Unknown,No
55,Blue-Collar,Married,Primary,No,145,No,No,Telephone,2,1900-02-01,59,3,5,2,Other,No
26,Blue-Collar,Married,Primary,No,0,Yes,No,Unknown,21,1900-05-01,425,1,-1,0,Unknown,No
32,Entrepreneur,Single,Primary,Yes,-849,Yes,Yes,Cellular,4,1900-02-01,204,1,-1,0,Unknown,No
61,Admin.,Married,Unknown,No,4629,Yes,No,Cellular,27,1900-01-01,181,1,92,1,Success,Yes
45,Blue-Collar,Divorced,Primary,No,844,No,No,Unknown,5,1900-06-01,1018,3,-1,0,Unknown,Yes
37,Technician,Single,Secondary,No,228,Yes,No,Cellular,20,1900-08-01,1740,2,-1,0,Unknown,No
38,Technician,Single,Secondary,No,50,No,No,Cellular,29,1900-08-01,98,2,-1,0,Unknown,No
34,Technician,Married,Tertiary,No,1539,Yes,No,Cellular,15,1900-06-01,441,1,56,1,Other,Yes
53,Blue-Collar,Married,Secondary,No,2231,Yes,No,Cellular,14,1900-07-01,272,3,-1,0,Unknown,No
48,Admin.,Married,Secondary,No,3064,Yes,No,Telephone,15,1900-07-01,159,2,-1,0,Unknown,No
57,Management,Married,Secondary,No,82,No,Yes,Telephone,4,1900-02-01,140,1,-1,0,Unknown,No
33,Self-Employed,Single,Tertiary,No,2155,No,No,Cellular,17,1900-11-01,295,1,-1,0,Unknown,No
36,Retired,Single,Secondary,No,101,Yes,Yes,Unknown,26,1900-05-01,314,1,-1,0,Unknown,No
54,Technician,Divorced,Secondary,No,784,Yes,Yes,Unknown,15,1900-05-01,579,1,-1,0,Unknown,No
41,Blue-Collar,Married,Primary,No,-516,No,Yes,Telephone,8,1900-07-01,554,3,-1,0,Unknown,No
63,Retired,Married,Secondary,No,415,Yes,No,Cellular,7,1900-10-01,323,1,-1,0,Unknown,No
48,Management,Married,Tertiary,No,5887,No,No,Cellular,13,1900-08-01,227,2,-1,0,Unknown,No
48,Services,Married,Secondary,No,1355,No,No,Cellular,4,1900-07-01,134,2,-1,0,Unknown,No
56,Admin.,Married,Secondary,No,16873,No,No,Cellular,7,1900-10-01,223,1,-1,0,Unknown,No
51,Blue-Collar,Divorced,Secondary,No,203,Yes,No,Cellular,8,1900-05-01,134,1,170,5,Failure,No
31,Services,Married,Secondary,No,338,Yes,No,Cellular,28,1900-01-01,155,1,-1,0,Unknown,No
29,Technician,Married,Secondary,No,444,Yes,No,Cellular,21,1900-07-01,130,4,-1,0,Unknown,No
41,Management,Married,Secondary,No,0,No,Yes,Cellular,7,1900-07-01,630,3,-1,0,Unknown,No
32,Technician,Single,Tertiary,No,360,No,No,Cellular,19,1900-11-01,164,2,-1,0,Unknown,No
37,Management,Married,Tertiary,No,0,No,No,Cellular,16,1900-07-01,268,2,182,3,Success,Yes
42,Entrepreneur,Divorced,Tertiary,Yes,2,Yes,No,Unknown,5,1900-05-01,380,1,-1,0,Unknown,No
31,Management,Single,Tertiary,No,6248,Yes,No,Unknown,9,1900-05-01,154,2,-1,0,Unknown,No
41,Services,Married,Tertiary,No,412,Yes,No,Unknown,3,1900-06-01,154,5,-1,0,Unknown,No
56,Retired,Married,Secondary,No,344,Yes,No,Unknown,15,1900-05-01,221,1,-1,0,Unknown,No
54,Management,Divorced,Tertiary,No,3222,No,No,Cellular,14,1900-08-01,67,2,-1,0,Unknown,No
41,Blue-Collar,Divorced,Secondary,No,174,Yes,No,Cellular,14,1900-05-01,367,2,297,1,Other,No
40,Technician,Single,Secondary,No,591,No,Yes,Cellular,14,1900-08-01,87,6,-1,0,Unknown,No
50,Blue-Collar,Divorced,Primary,No,388,No,No,Cellular,5,1900-02-01,701,1,-1,0,Unknown,No
40,Unemployed,Married,Secondary,No,219,Yes,No,Cellular,17,1900-11-01,204,2,196,1,Failure,No
27,Admin.,Divorced,Secondary,No,451,Yes,No,Cellular,16,1900-07-01,652,1,-1,0,Unknown,Yes
60,Retired,Married,Primary,No,5,No,No,Cellular,26,1900-08-01,63,2,-1,0,Unknown,No
28,Admin.,Single,Secondary,No,177,Yes,Yes,Cellular,6,1900-05-01,150,1,-1,0,Unknown,No
52,Services,Married,Secondary,No,657,No,No,Telephone,7,1900-07-01,398,2,460,2,Failure,Yes
37,Management,Married,Tertiary,No,1315,No,No,Cellular,30,1900-06-01,224,1,-1,0,Unknown,Yes
51,Blue-Collar,Married,Primary,No,1466,Yes,No,Unknown,7,1900-05-01,406,2,-1,0,Unknown,No
41,Technician,Single,Secondary,No,879,No,Yes,Cellular,7,1900-07-01,60,4,-1,0,Unknown,No
35,Blue-Collar,Single,Primary,No,293,Yes,No,Unknown,30,1900-05-01,521,2,-1,0,Unknown,No
38,Admin.,Married,Secondary,No,424,Yes,No,Cellular,17,1900-04-01,279,1,-1,0,Unknown,No
34,Blue-Collar,Married,Secondary,No,1831,Yes,No,Unknown,20,1900-05-01,203,2,-1,0,Unknown,No
39,Blue-Collar,Married,Primary,No,111,No,No,Cellular,18,1900-11-01,201,2,-1,0,Unknown,No
34,Blue-Collar,Married,Primary,No,455,Yes,No,Unknown,20,1900-06-01,372,3,-1,0,Unknown,No
27,Services,Single,Secondary,No,-195,Yes,No,Cellular,18,1900-05-01,391,1,-1,0,Unknown,Yes
32,Management,Single,Tertiary,No,3616,No,No,Cellular,14,1900-08-01,165,2,-1,0,Unknown,No
57,Blue-Collar,Married,Secondary,No,14093,No,No,Cellular,11,1900-08-01,231,5,-1,0,Unknown,No
41,Unknown,Single,Tertiary,No,1567,No,No,Cellular,1,1900-07-01,291,2,-1,0,Unknown,No
41,Admin.,Married,Tertiary,No,5426,Yes,No,Unknown,14,1900-05-01,149,2,-1,0,Unknown,No
30,Admin.,Single,Tertiary,No,261,No,No,Cellular,19,1900-10-01,233,1,137,20,Failure,No
36,Blue-Collar,Divorced,Secondary,No,2843,No,No,Cellular,12,1900-02-01,473,1,182,1,Success,No
31,Unemployed,Single,Primary,No,406,No,No,Cellular,4,1900-02-01,736,1,-1,0,Unknown,Yes
36,Blue-Collar,Married,Secondary,No,0,Yes,No,Unknown,6,1900-05-01,337,1,-1,0,Unknown,No
38,Management,Single,Tertiary,No,493,Yes,No,Cellular,11,1900-05-01,553,1,367,7,Failure,No
49,Technician,Married,Secondary,No,5996,No,No,Telephone,21,1900-11-01,345,2,-1,0,Unknown,No
57,Services,Single,Primary,No,3777,Yes,No,Telephone,13,1900-05-01,65,2,-1,0,Unknown,No
34,Management,Single,Secondary,No,524,No,No,Unknown,13,1900-08-01,9,1,-1,0,Unknown,No
32,Management,Single,Tertiary,No,574,Yes,No,Cellular,14,1900-04-01,259,2,145,3,Failure,No
37,Blue-Collar,Married,Secondary,No,427,Yes,Yes,Unknown,9,1900-06-01,371,3,-1,0,Unknown,No
33,Self-Employed,Married,Tertiary,No,483,Yes,No,Cellular,3,1900-02-01,280,2,-1,0,Unknown,No
56,Unemployed,Married,Primary,No,3391,No,No,Cellular,21,1900-04-01,243,1,-1,0,Unknown,Yes
27,Housemaid,Married,Primary,No,0,Yes,No,Cellular,23,1900-07-01,435,3,-1,0,Unknown,No
21,Student,Single,Secondary,No,2488,No,No,Cellular,30,1900-06-01,258,6,169,3,Success,Yes
58,Management,Married,Tertiary,No,1517,Yes,No,Telephone,29,1900-07-01,7,5,-1,0,Unknown,No
32,Self-Employed,Married,Secondary,No,217,Yes,Yes,Cellular,15,1900-07-01,317,5,-1,0,Unknown,No
33,Blue-Collar,Single,Secondary,No,22,No,No,Cellular,30,1900-01-01,76,2,207,1,Failure,No
25,Student,Single,Secondary,No,331,No,No,Telephone,26,1900-08-01,170,4,-1,0,Unknown,Yes
25,Technician,Single,Secondary,No,505,No,Yes,Cellular,17,1900-11-01,386,2,-1,0,Unknown,Yes
30,Services,Married,Secondary,No,1808,Yes,No,Cellular,18,1900-05-01,83,2,-1,0,Unknown,No
22,Admin.,Single,Secondary,No,4111,No,Yes,Cellular,19,1900-08-01,65,1,-1,0,Unknown,No
39,Blue-Collar,Married,Primary,No,52,No,No,Cellular,13,1900-08-01,69,1,-1,0,Unknown,No
46,Management,Divorced,Tertiary,No,25,No,No,Unknown,17,1900-06-01,564,2,-1,0,Unknown,No
31,Admin.,Divorced,Secondary,No,1890,Yes,No,Cellular,21,1900-07-01,588,1,-1,0,Unknown,No
45,Blue-Collar,Married,Primary,No,419,No,No,Cellular,18,1900-08-01,113,4,-1,0,Unknown,No
32,Technician,Married,Secondary,No,2693,Yes,No,Unknown,21,1900-05-01,16,1,-1,0,Unknown,No
36,Blue-Collar,Married,Secondary,No,-231,No,Yes,Cellular,15,1900-07-01,779,2,-1,0,Unknown,No
51,Management,Single,Tertiary,Yes,-55,Yes,No,Cellular,11,1900-05-01,281,2,266,6,Failure,No
34,Self-Employed,Single,Tertiary,No,462,No,No,Cellular,21,1900-08-01,1877,3,-1,0,Unknown,Yes
24,Unemployed,Single,Secondary,No,119,No,No,Unknown,15,1900-09-01,51,1,-1,0,Unknown,No
45,Technician,Single,Secondary,No,586,No,Yes,Cellular,28,1900-07-01,32,3,-1,0,Unknown,No
32,Blue-Collar,Single,Secondary,No,228,No,No,Telephone,5,1900-02-01,176,1,288,3,Failure,No
77,Retired,Divorced,Tertiary,No,4659,No,No,Cellular,14,1900-04-01,161,1,-1,0,Unknown,Yes
41,Blue-Collar,Married,Primary,No,168,Yes,No,Cellular,18,1900-11-01,187,3,-1,0,Unknown,No
37,Blue-Collar,Married,Primary,No,0,Yes,No,Unknown,26,1900-05-01,24,1,-1,0,Unknown,No
43,Blue-Collar,Married,Unknown,Yes,-715,Yes,No,Unknown,30,1900-05-01,67,3,-1,0,Unknown,No
48,Admin.,Married,Unknown,No,0,Yes,No,Cellular,8,1900-05-01,85,1,168,2,Failure,No
27,Technician,Single,Secondary,No,769,Yes,No,Unknown,9,1900-05-01,317,2,-1,0,Unknown,No
33,Management,Single,Tertiary,No,0,No,No,Cellular,28,1900-08-01,236,10,-1,0,Unknown,No
29,Admin.,Single,Secondary,No,428,Yes,Yes,Cellular,7,1900-05-01,54,1,345,2,Failure,No
34,Management,Single,Tertiary,No,0,No,No,Cellular,5,1900-02-01,71,1,-1,0,Unknown,No
52,Management,Married,Tertiary,No,-970,Yes,No,Cellular,4,1900-02-01,489,1,-1,0,Unknown,Yes
60,Management,Married,Unknown,No,6313,No,No,Unknown,19,1900-06-01,39,2,-1,0,Unknown,No
32,Management,Divorced,Tertiary,No,948,No,No,Cellular,12,1900-08-01,204,2,-1,0,Unknown,No
32,Management,Single,Tertiary,No,0,Yes,No,Cellular,22,1900-07-01,455,2,-1,0,Unknown,No
56,Services,Divorced,Unknown,No,1877,Yes,No,Unknown,30,1900-05-01,86,1,-1,0,Unknown,No
31,Management,Single,Tertiary,No,874,Yes,No,Cellular,18,1900-11-01,190,2,-1,0,Unknown,No
42,Admin.,Married,Secondary,No,323,Yes,Yes,Unknown,8,1900-05-01,280,2,-1,0,Unknown,No
35,Management,Married,Tertiary,No,106,No,Yes,Cellular,11,1900-08-01,588,2,-1,0,Unknown,No
56,Retired,Married,Primary,No,1906,No,Yes,Unknown,19,1900-06-01,45,9,-1,0,Unknown,No
48,Technician,Married,Secondary,No,1152,Yes,No,Cellular,21,1900-07-01,168,5,-1,0,Unknown,No
46,Admin.,Married,Secondary,No,179,Yes,No,Cellular,29,1900-01-01,194,4,436,1,Other,No
37,Technician,Single,Unknown,No,391,Yes,No,Unknown,8,1900-05-01,103,3,-1,0,Unknown,No
41,Entrepreneur,Married,Unknown,No,89,Yes,No,Unknown,6,1900-05-01,333,2,-1,0,Unknown,No
36,Management,Single,Tertiary,No,442,Yes,Yes,Cellular,29,1900-07-01,102,3,-1,0,Unknown,No
45,Unemployed,Divorced,Primary,Yes,-249,Yes,Yes,Unknown,1,1900-07-01,92,1,-1,0,Unknown,No
55,Entrepreneur,Married,Secondary,No,8104,No,No,Cellular,6,1900-02-01,213,2,-1,0,Unknown,No
39,Technician,Married,Secondary,No,501,No,No,Unknown,26,1900-05-01,289,1,-1,0,Unknown,No
35,Technician,Divorced,Secondary,No,308,No,No,Cellular,22,1900-08-01,77,2,-1,0,Unknown,No
55,Admin.,Married,Secondary,No,602,No,No,Cellular,1,1900-06-01,324,3,90,2,Success,Yes
55,Technician,Married,Secondary,No,273,Yes,No,Cellular,29,1900-01-01,84,3,183,3,Failure,No
27,Self-Employed,Single,Secondary,No,50,No,No,Cellular,29,1900-01-01,168,1,-1,0,Unknown,No
34,Technician,Married,Secondary,No,1641,Yes,No,Cellular,17,1900-04-01,380,1,-1,0,Unknown,No
34,Blue-Collar,Married,Tertiary,No,20,No,No,Unknown,4,1900-10-01,10,1,-1,0,Unknown,No
25,Admin.,Single,Secondary,No,4590,Yes,No,Unknown,28,1900-05-01,199,2,-1,0,Unknown,No
41,Admin.,Single,Secondary,No,-256,No,Yes,Unknown,9,1900-05-01,35,3,-1,0,Unknown,No
43,Services,Married,Secondary,No,978,Yes,Yes,Unknown,26,1900-05-01,82,2,-1,0,Unknown,No
28,Management,Single,Tertiary,No,80,No,No,Cellular,20,1900-10-01,676,2,146,2,Failure,Yes
31,Admin.,Single,Secondary,No,2104,Yes,No,Unknown,3,1900-06-01,455,1,-1,0,Unknown,No
78,Housemaid,Married,Secondary,No,499,No,No,Telephone,16,1900-03-01,80,4,-1,0,Unknown,No
45,Blue-Collar,Divorced,Secondary,No,1269,Yes,No,Cellular,29,1900-01-01,549,2,-1,0,Unknown,No
48,Technician,Married,Tertiary,No,310,No,No,Unknown,6,1900-05-01,135,1,-1,0,Unknown,No
32,Blue-Collar,Single,Secondary,No,1143,Yes,Yes,Cellular,10,1900-07-01,412,1,-1,0,Unknown,No
42,Technician,Married,Secondary,No,2980,No,No,Unknown,20,1900-06-01,101,3,-1,0,Unknown,No
37,Management,Single,Tertiary,No,37,No,No,Cellular,28,1900-01-01,253,2,-1,0,Unknown,No
40,Admin.,Single,Secondary,No,462,Yes,Yes,Cellular,6,1900-04-01,272,1,335,4,Other,No
32,Admin.,Married,Secondary,No,1031,Yes,No,Cellular,17,1900-07-01,84,1,-1,0,Unknown,No
42,Management,Married,Tertiary,No,9009,No,No,Cellular,20,1900-11-01,135,2,-1,0,Unknown,No
43,Admin.,Married,Secondary,No,-465,Yes,Yes,Cellular,23,1900-07-01,166,1,-1,0,Unknown,No
44,Admin.,Married,Secondary,No,5181,Yes,Yes,Cellular,31,1900-07-01,18,7,-1,0,Unknown,No
37,Admin.,Married,Secondary,No,176,Yes,No,Cellular,5,1900-05-01,147,2,347,1,Failure,No
37,Unknown,Married,Unknown,No,1699,No,No,Unknown,9,1900-06-01,63,1,-1,0,Unknown,No
37,Admin.,Married,Tertiary,No,0,Yes,No,Cellular,17,1900-11-01,65,2,119,1,Failure,No
28,Technician,Single,Tertiary,No,172,Yes,Yes,Cellular,2,1900-02-01,194,2,-1,0,Unknown,No
32,Services,Single,Secondary,No,0,No,Yes,Cellular,11,1900-07-01,333,2,-1,0,Unknown,No
34,Admin.,Single,Secondary,No,6979,Yes,No,Cellular,15,1900-05-01,14,5,-1,0,Unknown,No
40,Admin.,Divorced,Secondary,No,6,No,No,Unknown,11,1900-06-01,140,1,-1,0,Unknown,No
34,Services,Married,Secondary,No,-62,Yes,No,Unknown,16,1900-06-01,109,3,-1,0,Unknown,No
34,Self-Employed,Married,Tertiary,No,1972,Yes,No,Cellular,23,1900-07-01,61,2,-1,0,Unknown,No
34,Admin.,Married,Tertiary,No,899,Yes,No,Telephone,19,1900-11-01,377,3,7,4,Success,No
37,Services,Single,Secondary,No,21,Yes,No,Cellular,2,1900-02-01,96,1,271,2,Other,No
36,Technician,Married,Secondary,No,23,Yes,No,Cellular,8,1900-05-01,152,2,347,1,Failure,No
56,Retired,Married,Secondary,No,-1206,Yes,No,Cellular,15,1900-06-01,382,2,-1,0,Unknown,Yes
49,Blue-Collar,Married,Primary,No,0,Yes,Yes,Telephone,23,1900-07-01,97,6,-1,0,Unknown,No
33,Self-Employed,Married,Secondary,No,215,Yes,No,Cellular,29,1900-07-01,543,12,-1,0,Unknown,No
30,Management,Single,Tertiary,No,1372,No,No,Cellular,20,1900-11-01,240,2,-1,0,Unknown,No
36,Services,Married,Secondary,No,1981,No,No,Unknown,17,1900-06-01,48,2,-1,0,Unknown,No
23,Student,Single,Secondary,No,9216,No,No,Cellular,5,1900-06-01,471,2,-1,0,Unknown,No
57,Retired,Divorced,Secondary,No,39,Yes,No,Cellular,30,1900-07-01,354,3,-1,0,Unknown,No
27,Blue-Collar,Single,Secondary,No,5563,Yes,No,Unknown,30,1900-05-01,435,2,-1,0,Unknown,No
38,Services,Married,Secondary,No,1,No,Yes,Cellular,21,1900-11-01,152,2,-1,0,Unknown,No
42,Technician,Married,Tertiary,No,782,No,No,Cellular,3,1900-04-01,285,1,-1,0,Unknown,No
75,Retired,Married,Secondary,No,3771,No,No,Telephone,15,1900-04-01,185,1,181,2,Success,Yes
34,Technician,Single,Tertiary,No,992,Yes,No,Cellular,4,1900-05-01,301,1,88,2,Success,No
48,Technician,Married,Secondary,No,1526,No,No,Cellular,6,1900-08-01,273,2,-1,0,Unknown,No
35,Technician,Single,Tertiary,No,2658,Yes,No,Cellular,19,1900-08-01,768,2,141,3,Failure,Yes
39,Management,Divorced,Tertiary,No,1315,Yes,No,Cellular,19,1900-11-01,1337,4,126,1,Failure,No
29,Blue-Collar,Single,Tertiary,No,455,No,No,Telephone,21,1900-04-01,403,1,-1,0,Unknown,Yes
45,Technician,Single,Tertiary,No,0,Yes,No,Cellular,18,1900-11-01,139,2,-1,0,Unknown,No
42,Technician,Married,Secondary,No,2030,Yes,Yes,Cellular,9,1900-07-01,196,1,-1,0,Unknown,No
29,Technician,Married,Secondary,No,1599,Yes,No,Cellular,8,1900-07-01,115,1,61,1,Failure,No
38,Services,Single,Secondary,No,-196,Yes,No,Cellular,2,1900-02-01,60,1,271,1,Failure,No
56,Retired,Married,Secondary,No,1333,No,No,Cellular,28,1900-08-01,17,14,-1,0,Unknown,No
36,Technician,Single,Secondary,No,9149,Yes,No,Cellular,13,1900-08-01,141,3,-1,0,Unknown,No
25,Blue-Collar,Single,Secondary,No,-350,Yes,No,Unknown,23,1900-06-01,95,3,-1,0,Unknown,No
38,Technician,Married,Tertiary,No,432,Yes,No,Cellular,15,1900-05-01,10,2,373,1,Other,No
57,Self-Employed,Married,Secondary,No,11494,No,No,Cellular,19,1900-11-01,198,1,-1,0,Unknown,No
31,Management,Married,Tertiary,Yes,-253,No,No,Cellular,12,1900-08-01,220,4,-1,0,Unknown,No
42,Management,Married,Tertiary,No,372,Yes,No,Cellular,3,1900-08-01,654,2,-1,0,Unknown,Yes
45,Technician,Married,Secondary,No,1410,No,No,Cellular,11,1900-08-01,71,2,-1,0,Unknown,No
30,Blue-Collar,Married,Secondary,No,975,Yes,No,Cellular,13,1900-05-01,256,2,351,2,Failure,No
49,Blue-Collar,Married,Primary,No,305,Yes,Yes,Telephone,10,1900-07-01,834,10,-1,0,Unknown,No
49,Services,Married,Secondary,No,400,No,No,Cellular,21,1900-08-01,151,3,-1,0,Unknown,No
53,Retired,Married,Tertiary,No,-22,Yes,No,Cellular,31,1900-07-01,20,3,-1,0,Unknown,No
37,Technician,Married,Secondary,No,4030,Yes,No,Unknown,26,1900-05-01,178,5,-1,0,Unknown,No
49,Blue-Collar,Married,Primary,No,365,No,No,Unknown,26,1900-05-01,59,2,-1,0,Unknown,No
41,Self-Employed,Married,Primary,No,204,No,No,Cellular,13,1900-08-01,111,7,-1,0,Unknown,No
54,Management,Married,Primary,No,1691,Yes,No,Cellular,20,1900-11-01,186,1,-1,0,Unknown,No
32,Services,Single,Secondary,No,406,Yes,No,Unknown,6,1900-05-01,227,1,-1,0,Unknown,No
33,Technician,Married,Secondary,No,-204,No,No,Cellular,15,1900-05-01,297,3,-1,0,Unknown,No
33,Technician,Married,Secondary,No,359,Yes,No,Cellular,20,1900-04-01,210,1,242,1,Other,No
36,Blue-Collar,Married,Primary,No,123,Yes,No,Cellular,18,1900-05-01,9,1,-1,0,Unknown,No
35,Technician,Married,Tertiary,No,0,Yes,Yes,Cellular,23,1900-09-01,112,1,62,6,Other,No
52,Unknown,Married,Secondary,No,142,No,No,Cellular,25,1900-08-01,112,6,-1,0,Unknown,No
40,Entrepreneur,Married,Tertiary,No,3571,No,No,Unknown,9,1900-06-01,222,3,-1,0,Unknown,No
44,Technician,Single,Secondary,No,33,Yes,No,Cellular,13,1900-05-01,195,3,351,10,Failure,No
45,Blue-Collar,Single,Secondary,No,0,Yes,No,Cellular,26,1900-07-01,768,2,91,5,Success,No
30,Student,Single,Secondary,No,3096,No,No,Cellular,26,1900-01-01,123,1,-1,0,Unknown,No
48,Technician,Divorced,Secondary,Yes,20,No,No,Cellular,27,1900-08-01,145,3,-1,0,Unknown,No
33,Blue-Collar,Married,Secondary,No,3576,Yes,No,Cellular,2,1900-04-01,124,1,308,2,Other,No
57,Technician,Married,Unknown,No,206,Yes,No,Unknown,5,1900-05-01,216,3,-1,0,Unknown,No
57,Housemaid,Married,Primary,No,7082,No,No,Unknown,6,1900-06-01,69,3,-1,0,Unknown,No
51,Unemployed,Married,Tertiary,No,1634,Yes,No,Cellular,22,1900-07-01,168,4,-1,0,Unknown,No
34,Admin.,Single,Secondary,No,1,Yes,No,Cellular,22,1900-07-01,483,7,-1,0,Unknown,No
50,Self-Employed,Married,Tertiary,No,4012,No,No,Cellular,19,1900-11-01,690,3,-1,0,Unknown,No
44,Management,Married,Tertiary,No,3762,No,No,Cellular,28,1900-08-01,125,12,-1,0,Unknown,No
27,Admin.,Married,Secondary,No,-247,Yes,Yes,Unknown,4,1900-06-01,344,2,-1,0,Unknown,No
50,Blue-Collar,Married,Secondary,No,606,Yes,No,Unknown,14,1900-05-01,673,2,-1,0,Unknown,No
36,Management,Married,Tertiary,No,0,Yes,No,Cellular,28,1900-01-01,60,1,250,1,Other,No
42,Management,Married,Secondary,No,-189,Yes,No,Unknown,12,1900-05-01,247,2,-1,0,Unknown,No
32,Unemployed,Single,Secondary,No,0,No,No,Cellular,27,1900-05-01,123,2,-1,0,Unknown,No
42,Management,Married,Tertiary,No,484,Yes,No,Cellular,11,1900-07-01,144,2,-1,0,Unknown,No
43,Technician,Married,Secondary,No,0,No,Yes,Cellular,8,1900-05-01,9,2,172,5,Failure,No
31,Management,Married,Tertiary,No,395,Yes,No,Cellular,9,1900-02-01,155,3,-1,0,Unknown,No
32,Management,Married,Tertiary,No,2349,No,No,Cellular,14,1900-08-01,134,5,-1,0,Unknown,No
